i,x
0,[0 1 1 0 1]
1,[0 1 1 0 1]
2,[0 1 1 0 1]
3,[0 1 1 0 1]
4,[0 1 1 0 1]
5,[0 1 1 1 1]
6,[0 0 1 0 1]
7,[0 1 1 0 1]
8,[0 1 1 0 1]
9,[0 1 0 0 1]
10,[0 1 1 0 1]
11,[0 1 1 0 1]
12,[0 1 0 0 1]
13,[0 1 0 0 1]
14,[0 1 0 0 1]
15,[0 1 1 0 1]
16,[0 1 1 0 1]
17,[0 1 1 0 1]
18,[0 1 0 0 1]
19,[0 1 0 0 1]
20,[0 1 0 0 1]
21,[0 1 0 0 1]
22,[0 1 0 0 1]
23,[0 1 0 0 1]
24,[0 1 0 0 1]
25,[0 1 1 0 1]
26,[0 1 1 0 1]
27,[0 1 0 0 1]
28,[0 1 0 0 1]
29,[0 1 0 0 1]
30,[0 1 0 0 1]
31,[1 1 1 0 0]
32,[1 1 0 0 1]
33,[1 1 0 0 1]
34,[0 1 1 0 1]
35,[0 1 0 0 1]
36,[0 1 1 0 1]
37,[0 1 0 0 1]
38,[0 1 1 0 1]
39,[0 1 0 0 1]
40,[0 0 0 0 1]
41,[0 1 1 0 1]
42,[0 1 1 0 1]
43,[0 1 1 0 1]
44,[0 1 1 0 1]
45,[0 1 1 0 1]
46,[0 1 1 0 1]
47,[0 1 1 0 1]
48,[0 1 1 0 1]
49,[0 1 1 0 1]
50,[0 1 1 0 1]
51,[0 1 0 0 1]
52,[0 1 1 0 1]
53,[1 1 1 1 1]
54,[0 1 1 0 1]
55,[0 1 1 1 1]
56,[0 1 1 0 1]
57,[0 1 0 1 1]
58,[0 1 0 1 1]
59,[0 1 1 0 1]
60,[0 1 1 0 1]
61,[0 1 1 0 1]
62,[0 1 1 1 1]
63,[0 1 0 1 1]
64,[0 1 1 1 1]
65,[0 1 1 1 1]
66,[0 1 1 1 1]
67,[0 0 1 1 1]
68,[0 0 1 1 1]
69,[0 0 1 1 1]
70,[0 1 1 1 1]
71,[0 1 1 1 1]
72,[0 1 1 1 1]
73,[0 1 1 1 1]
74,[0 1 1 1 1]
75,[0 1 1 1 1]
76,[1 1 1 1 1]
77,[0 1 1 1 1]
78,[0 1 1 1 1]
79,[0 1 1 1 1]
80,[0 1 1 1 1]
81,[0 1 0 0 1]
82,[0 1 0 0 1]
83,[0 1 0 0 1]
84,[0 1 1 1 1]
85,[0 0 1 0 1]
86,[0 0 1 0 1]
87,[0 1 1 1 1]
88,[0 1 1 1 1]
89,[0 1 1 1 1]
90,[0 1 1 1 1]
91,[1 1 1 1 1]
92,[0 1 1 0 1]
93,[0 1 1 0 1]
94,[0 1 1 1 1]
95,[0 1 1 1 1]
96,[0 1 1 1 1]
97,[0 1 1 1 1]
98,[0 1 1 1 1]
99,[0 1 1 1 1]
100,[0 1 1 1 1]
101,[0 1 1 1 1]
102,[0 1 1 1 1]
103,[0 1 1 1 1]
104,[0 1 1 1 1]
105,[0 1 1 1 1]
106,[0 1 1 1 1]
107,[0 1 1 1 1]
108,[0 1 1 1 1]
109,[0 1 1 1 1]
110,[0 1 1 1 1]
111,[0 1 1 1 1]
112,[0 1 1 1 1]
113,[0 1 1 1 1]
114,[0 1 1 1 1]
115,[0 1 1 1 1]
116,[0 1 1 1 1]
117,[0 1 1 1 1]
118,[0 1 1 1 1]
119,[0 1 1 1 1]
120,[0 1 1 1 1]
121,[0 1 1 1 1]
122,[0 1 1 1 1]
123,[0 1 1 1 1]
124,[0 1 0 1 1]
125,[0 1 0 1 1]
126,[0 1 1 1 1]
127,[0 0 1 1 1]
128,[1 1 0 1 1]
129,[0 1 1 1 1]
130,[0 1 1 1 1]
131,[0 1 1 1 1]
132,[0 1 1 1 1]
133,[0 1 1 1 1]
134,[0 1 1 1 1]
135,[1 1 1 1 1]
136,[1 1 0 1 1]
137,[1 1 0 1 1]
138,[0 1 1 1 0]
139,[0 1 1 1 1]
140,[0 0 1 1 1]
141,[0 0 1 1 1]
142,[0 0 1 1 1]
143,[0 0 1 1 1]
144,[0 1 1 1 1]
145,[0 1 1 1 1]
146,[0 0 1 1 1]
147,[0 0 0 1 1]
148,[0 1 0 1 0]
149,[0 1 1 1 1]
150,[0 0 0 1 1]
151,[0 0 0 1 1]
152,[0 0 0 1 1]
153,[0 1 0 1 1]
154,[0 1 0 1 1]
155,[0 1 0 1 1]
156,[0 1 0 1 1]
157,[0 1 1 1 1]
158,[1 1 1 1 1]
159,[0 1 0 1 1]
160,[0 1 1 1 1]
161,[1 1 1 1 1]
162,[1 1 1 1 1]
163,[0 1 0 1 1]
164,[1 1 1 1 1]
165,[0 1 1 1 1]
166,[0 1 1 1 1]
167,[0 1 1 1 1]
168,[0 1 1 1 1]
169,[1 1 1 1 1]
170,[1 1 1 1 1]
171,[0 1 1 1 1]
172,[0 1 1 1 0]
173,[0 0 1 1 1]
174,[1 1 1 1 1]
175,[0 1 1 1 1]
176,[0 0 1 1 1]
177,[0 0 1 1 1]
178,[0 1 1 1 1]
179,[0 1 1 1 1]
180,[0 1 1 0 1]
181,[0 1 1 0 1]
182,[0 1 0 1 1]
183,[1 1 1 1 1]
184,[0 1 0 1 1]
185,[0 1 0 1 1]
186,[0 1 0 0 0]
187,[0 1 0 0 0]
188,[1 1 1 0 1]
189,[0 0 1 1 1]
190,[0 0 1 1 1]
191,[1 1 1 1 1]
192,[1 1 1 0 1]
193,[0 0 1 1 0]
194,[0 0 1 1 0]
195,[0 0 1 1 0]
196,[0 0 1 1 0]
197,[1 1 1 1 1]
198,[0 1 1 1 1]
199,[0 1 0 0 1]
200,[0 1 1 0 1]
201,[0 0 1 1 1]
202,[0 1 1 1 1]
203,[0 1 1 1 1]
204,[1 1 1 1 1]
205,[0 1 1 1 1]
206,[0 1 1 0 1]
207,[1 1 1 0 1]
208,[1 1 1 0 1]
209,[1 1 1 0 1]
210,[0 0 1 0 1]
211,[0 0 1 0 1]
212,[0 0 1 0 1]
213,[0 1 1 0 1]
214,[0 1 1 0 1]
215,[1 1 1 0 1]
216,[1 1 1 0 1]
217,[1 1 1 0 1]
218,[0 1 1 0 1]
219,[0 0 1 1 1]
220,[0 0 1 0 1]
221,[0 0 1 0 1]
222,[1 1 1 1 1]
223,[0 1 1 1 1]
224,[0 1 1 1 1]
225,[1 1 1 1 1]
226,[0 1 1 1 1]
227,[0 1 0 1 1]
228,[0 1 0 1 1]
229,[1 1 1 1 1]
230,[0 1 1 1 1]
231,[0 0 1 1 1]
232,[0 1 1 0 1]
233,[1 1 1 0 1]
234,[0 1 1 0 1]
235,[0 1 1 0 1]
236,[0 1 1 0 1]
237,[0 1 1 0 1]
238,[0 1 1 0 1]
239,[0 1 0 0 1]
240,[0 1 1 0 1]
241,[0 1 1 0 1]
242,[0 1 1 0 1]
243,[1 1 1 1 0]
244,[1 1 1 0 1]
245,[1 1 1 0 1]
246,[1 1 1 0 1]
247,[1 1 1 1 1]
248,[0 1 1 0 1]
249,[0 1 0 1 1]
250,[0 1 0 1 1]
251,[0 1 0 0 0]
252,[0 1 0 0 0]
253,[0 1 0 0 0]
254,[0 1 0 0 0]
255,[0 1 0 0 0]
256,[0 1 0 0 0]
257,[0 1 0 0 0]
258,[0 1 0 0 0]
259,[0 1 0 0 0]
260,[0 1 0 0 0]
261,[0 1 0 0 0]
262,[0 1 0 0 0]
263,[0 1 0 0 0]
264,[0 1 0 0 0]
265,[0 1 0 0 0]
266,[0 1 0 0 0]
267,[0 1 0 0 0]
268,[0 1 0 0 0]
269,[0 1 1 1 1]
270,[0 1 0 1 0]
271,[0 1 0 1 0]
272,[0 1 0 1 0]
273,[1 1 1 0 1]
274,[0 1 0 1 1]
275,[0 1 0 0 1]
276,[0 1 0 0 1]
277,[0 1 0 0 1]
278,[0 1 1 0 0]
279,[0 1 1 0 0]
280,[0 1 0 0 1]
281,[0 1 0 0 0]
282,[0 1 0 0 0]
283,[0 1 0 0 0]
284,[0 1 0 1 1]
285,[0 1 1 1 1]
286,[1 1 1 0 0]
287,[1 0 1 0 1]
288,[1 0 1 0 1]
289,[0 1 1 1 1]
290,[0 1 1 0 1]
291,[0 1 1 0 1]
292,[0 1 1 1 0]
293,[0 1 1 1 0]
294,[0 1 1 1 1]
295,[0 1 1 1 1]
296,[0 1 1 1 1]
297,[1 1 1 0 1]
298,[0 1 0 1 1]
299,[0 1 1 0 0]
300,[0 1 1 1 1]
301,[1 1 1 0 0]
302,[0 0 1 1 0]
303,[0 0 1 1 0]
304,[0 1 1 1 1]
305,[0 1 1 1 1]
306,[0 1 1 1 1]
307,[0 0 1 1 1]
308,[0 0 1 1 1]
309,[1 1 1 1 0]
310,[0 0 1 0 0]
311,[0 0 1 0 0]
312,[0 0 1 0 0]
313,[0 1 1 0 1]
314,[0 1 1 0 1]
315,[0 1 1 1 0]
316,[0 0 1 1 0]
317,[0 1 1 1 0]
318,[0 1 1 1 1]
319,[0 1 0 1 0]
320,[0 1 1 1 1]
321,[0 1 1 1 1]
322,[0 1 1 1 1]
323,[0 1 1 0 0]
324,[0 1 1 1 0]
325,[0 1 1 0 1]
326,[0 0 1 1 0]
327,[0 1 1 1 0]
328,[0 1 1 0 0]
329,[0 1 1 0 0]
330,[0 1 1 0 0]
331,[0 1 1 0 0]
332,[0 1 1 0 0]
333,[0 1 1 0 0]
334,[0 1 1 0 0]
335,[0 1 1 0 0]
336,[0 1 1 0 0]
337,[0 0 1 1 0]
338,[0 0 1 1 0]
339,[1 1 1 1 0]
340,[1 1 1 1 0]
341,[0 1 1 1 1]
342,[0 1 1 1 0]
343,[0 0 1 0 1]
344,[1 1 1 1 1]
345,[0 1 1 0 1]
346,[0 1 0 1 1]
347,[0 1 1 0 1]
348,[0 1 1 0 1]
349,[0 1 1 0 1]
350,[0 1 1 0 1]
351,[1 1 0 1 0]
352,[0 0 1 0 1]
353,[0 1 1 0 1]
354,[0 1 0 0 1]
355,[0 1 0 0 1]
356,[0 0 1 0 1]
357,[0 1 1 1 0]
358,[0 1 1 1 0]
359,[0 1 1 1 0]
360,[1 1 1 0 1]
361,[0 1 0 0 0]
362,[0 1 1 1 0]
363,[0 1 1 0 1]
364,[0 1 1 1 1]
365,[0 1 1 1 1]
366,[0 1 1 1 1]
367,[0 1 1 1 1]
368,[0 1 1 1 1]
369,[0 1 1 0 0]
370,[0 1 1 0 0]
371,[0 1 1 1 1]
372,[0 1 1 1 1]
373,[0 1 1 0 1]
374,[0 1 1 1 0]
375,[0 1 0 0 0]
376,[0 1 0 0 0]
377,[0 1 0 0 0]
378,[0 1 0 0 0]
379,[0 1 0 0 0]
380,[0 1 0 0 0]
381,[0 1 1 1 1]
382,[0 1 0 1 1]
383,[0 1 0 1 1]
384,[0 1 0 1 1]
385,[0 1 0 1 1]
386,[0 1 0 1 1]
387,[0 1 1 1 1]
388,[0 1 1 1 1]
389,[0 1 1 1 1]
390,[0 1 1 1 1]
391,[0 1 1 1 1]
392,[0 1 1 1 1]
393,[0 1 1 1 1]
394,[0 1 1 1 1]
395,[0 1 1 1 1]
396,[0 1 1 1 1]
397,[0 1 1 1 1]
398,[0 1 1 1 1]
399,[0 1 1 0 1]
400,[0 0 1 1 1]
401,[0 1 1 1 1]
402,[0 1 1 1 1]
403,[0 1 1 1 1]
404,[0 1 1 1 1]
405,[0 1 1 1 1]
406,[0 1 1 1 1]
407,[0 1 1 1 1]
408,[0 1 1 1 1]
409,[0 1 1 1 1]
410,[0 1 1 1 1]
411,[0 1 1 1 1]
412,[0 1 1 1 1]
413,[0 1 0 1 1]
414,[0 1 1 1 1]
415,[0 1 1 1 1]
416,[0 1 0 1 1]
417,[0 1 1 1 1]
418,[0 1 1 1 1]
419,[0 1 1 1 1]
420,[0 1 1 1 1]
421,[0 1 1 1 1]
422,[0 1 1 1 1]
423,[0 1 1 1 1]
424,[0 1 1 1 1]
425,[0 1 1 1 1]
426,[0 1 1 1 1]
427,[0 1 1 1 1]
428,[0 1 1 1 1]
429,[0 1 1 1 1]
430,[0 1 1 1 1]
431,[0 1 1 1 1]
432,[0 1 1 1 1]
433,[0 1 1 1 1]
434,[0 1 1 1 1]
435,[0 1 1 1 1]
436,[0 1 1 1 1]
437,[0 1 1 1 1]
438,[0 1 1 1 0]
439,[0 1 1 1 1]
440,[0 1 1 1 1]
441,[0 1 1 1 1]
442,[0 1 1 1 1]
443,[0 1 1 1 1]
444,[0 1 1 1 1]
445,[0 1 1 1 1]
446,[0 0 1 1 1]
447,[0 0 1 1 1]
448,[1 1 0 1 0]
449,[1 1 0 1 0]
450,[1 1 0 1 0]
451,[1 1 0 1 0]
452,[1 1 1 1 1]
453,[0 1 1 1 1]
454,[1 1 1 1 1]
455,[0 1 1 1 0]
456,[0 1 1 1 0]
457,[0 1 1 0 1]
458,[0 1 1 1 0]
459,[0 1 1 1 0]
460,[1 1 1 1 1]
461,[0 1 1 1 1]
462,[0 1 1 1 1]
463,[1 1 1 1 1]
464,[0 1 1 1 1]
465,[0 1 1 1 1]
466,[1 1 1 0 1]
467,[1 1 1 0 1]
468,[0 1 1 1 1]
469,[0 1 1 1 1]
470,[0 1 1 1 1]
471,[0 1 1 1 0]
472,[0 1 1 1 0]
473,[0 1 1 1 0]
474,[0 1 1 1 0]
475,[0 1 1 0 1]
476,[0 1 1 0 1]
477,[0 0 0 0 1]
478,[0 0 0 0 1]
479,[0 0 0 0 1]
480,[0 0 0 0 1]
481,[0 1 1 1 1]
482,[0 1 1 0 0]
483,[0 1 1 1 0]
484,[0 1 1 1 1]
485,[0 1 1 1 1]
486,[0 1 1 1 1]
487,[0 1 1 1 1]
488,[0 1 1 1 1]
489,[0 1 1 1 1]
490,[0 1 1 1 1]
491,[0 1 1 1 1]
492,[0 1 1 1 1]
493,[0 1 1 1 1]
494,[0 1 1 1 1]
495,[0 1 1 1 1]
496,[0 1 1 1 1]
497,[0 1 1 1 1]
498,[0 1 1 1 1]
499,[0 1 1 1 1]
500,[0 1 1 1 1]
501,[0 1 1 1 1]
502,[0 1 1 1 1]
503,[0 1 1 1 1]
504,[0 1 1 1 1]
505,[0 1 1 1 1]
506,[0 1 1 1 1]
507,[0 1 1 1 1]
508,[0 1 1 1 1]
509,[0 1 1 1 1]
510,[0 1 1 1 1]
511,[0 1 1 1 1]
512,[1 1 1 1 1]
513,[0 1 1 1 1]
514,[0 1 1 1 1]
515,[0 0 1 1 1]
516,[0 1 0 1 1]
517,[1 1 1 1 1]
518,[0 1 1 1 1]
519,[0 1 1 1 1]
520,[0 1 1 0 1]
521,[0 1 1 0 1]
522,[0 1 1 1 1]
523,[0 1 1 1 1]
524,[0 1 1 0 1]
525,[0 1 1 0 1]
526,[0 1 1 0 1]
527,[0 1 1 0 1]
528,[0 1 1 0 1]
529,[0 1 0 1 1]
530,[0 1 1 1 1]
531,[0 1 1 1 1]
532,[0 1 1 1 1]
533,[0 1 1 1 1]
534,[0 1 1 1 1]
535,[0 1 1 1 1]
536,[0 1 1 1 1]
537,[0 1 1 1 1]
538,[0 0 1 1 1]
539,[1 1 1 1 1]
540,[0 1 1 1 1]
541,[0 1 1 1 1]
542,[0 1 1 1 1]
543,[0 1 1 1 1]
544,[0 1 1 1 1]
545,[0 1 1 1 1]
546,[0 1 1 1 1]
547,[1 1 1 1 1]
548,[0 1 1 1 1]
549,[0 1 1 1 1]
550,[0 1 1 1 1]
551,[0 1 0 1 1]
552,[0 1 1 1 0]
553,[0 1 1 0 1]
554,[0 1 1 0 1]
555,[0 1 1 0 1]
556,[0 1 1 0 1]
557,[0 1 1 1 1]
558,[0 1 1 1 1]
559,[0 1 1 1 1]
560,[0 1 1 1 1]
561,[0 1 1 1 1]
562,[0 1 1 1 1]
563,[0 1 1 1 1]
564,[0 1 1 1 1]
565,[0 0 1 1 1]
566,[0 1 1 1 1]
567,[0 1 1 1 1]
568,[0 1 1 1 1]
569,[0 0 0 1 1]
570,[0 1 1 1 1]
571,[0 1 0 1 1]
572,[0 1 1 1 1]
573,[0 0 1 1 1]
574,[0 1 1 1 1]
575,[0 1 1 1 1]
576,[0 1 1 1 1]
577,[0 0 1 1 1]
578,[1 1 0 0 1]
579,[1 1 0 0 1]
580,[0 1 0 1 1]
581,[0 1 1 1 1]
582,[0 1 0 1 1]
583,[0 1 0 1 1]
584,[0 1 0 1 1]
585,[0 1 1 1 1]
586,[0 1 1 1 1]
587,[0 1 1 1 1]
588,[0 1 1 1 1]
589,[0 1 1 1 1]
590,[0 1 1 1 1]
591,[0 1 1 1 1]
592,[0 1 1 1 1]
593,[0 1 1 1 1]
594,[0 1 1 1 1]
595,[0 1 1 1 1]
596,[0 1 1 1 1]
597,[0 1 1 1 1]
598,[0 1 1 1 1]
