i,x
228,[1 0 1 1 1]
229,[0 1 1 1 1]
230,[1 0 1 0 1]
231,[0 0 0 1 1]
232,[1 1 0 1 0]
233,[0 0 0 0 0]
234,[0 0 1 0 1]
235,[0 0 0 0 1]
236,[0 0 0 0 1]
237,[0 1 0 1 0]
238,[0 0 0 1 1]
239,[0 1 1 0 0]
240,[0 0 0 1 1]
241,[1 1 0 0 1]
242,[1 1 1 1 1]
243,[1 0 0 0 0]
244,[1 1 1 1 0]
245,[1 0 0 1 1]
246,[0 0 1 0 0]
247,[0 0 0 0 0]
248,[1 0 1 1 1]
249,[1 0 0 1 1]
250,[1 0 1 1 1]
251,[1 0 1 0 1]
252,[1 0 0 1 0]
253,[0 0 0 1 1]
254,[1 1 0 0 1]
255,[0 0 1 1 1]
256,[1 0 0 1 0]
257,[0 0 0 0 1]
258,[1 0 1 1 0]
259,[0 0 0 1 1]
260,[1 0 0 0 1]
261,[0 1 0 1 1]
262,[0 1 0 1 0]
263,[0 1 0 0 1]
264,[1 1 0 1 0]
265,[0 1 0 1 0]
266,[1 0 0 1 0]
267,[0 1 0 1 0]
268,[1 0 0 1 0]
269,[1 0 1 1 1]
270,[0 1 1 1 0]
271,[1 0 1 1 0]
272,[1 0 1 1 1]
273,[0 0 0 0 0]
274,[0 0 0 1 1]
275,[0 0 0 1 1]
276,[1 0 0 1 1]
277,[0 0 1 0 1]
278,[1 0 0 1 0]
279,[1 0 0 1 1]
280,[0 0 0 1 1]
281,[1 1 0 0 0]
282,[0 1 1 1 0]
283,[0 0 1 1 0]
284,[0 0 0 0 0]
285,[0 0 1 1 0]
286,[0 1 0 1 1]
287,[1 0 0 0 0]
288,[0 0 1 0 0]
289,[1 1 0 0 1]
290,[0 1 0 1 1]
291,[1 0 1 1 1]
292,[1 0 0 0 0]
293,[0 0 0 1 0]
294,[1 1 0 0 0]
295,[0 0 0 1 0]
296,[0 1 0 1 1]
297,[1 0 0 1 0]
298,[1 0 1 0 1]
299,[0 0 1 1 1]
300,[0 0 1 1 1]
301,[0 1 1 1 1]
302,[0 0 1 1 0]
303,[0 0 0 0 1]
304,[1 1 1 0 0]
305,[0 0 0 1 0]
306,[0 0 0 0 0]
307,[0 1 1 0 1]
308,[1 0 0 0 0]
309,[1 1 1 1 0]
310,[1 0 0 1 0]
311,[0 1 0 1 1]
312,[1 0 0 1 1]
313,[0 0 0 0 0]
314,[0 1 1 1 0]
315,[0 1 0 0 1]
316,[0 0 0 0 0]
317,[1 0 0 0 1]
318,[1 0 1 0 1]
319,[1 0 1 0 1]
320,[1 0 0 1 0]
321,[1 0 0 0 0]
322,[1 0 0 1 0]
323,[1 0 1 0 1]
324,[1 1 0 0 0]
325,[1 0 1 1 0]
326,[0 0 1 0 1]
327,[1 0 0 0 0]
328,[0 0 0 1 0]
329,[0 1 1 1 1]
330,[0 0 0 1 0]
331,[0 0 0 0 0]
332,[1 0 0 1 1]
333,[0 0 0 0 0]
334,[0 0 1 0 0]
335,[1 0 1 1 0]
336,[1 0 1 0 0]
337,[0 0 1 1 1]
338,[1 0 0 0 0]
339,[0 0 0 0 1]
340,[1 0 0 0 1]
341,[0 0 1 0 0]
342,[1 0 0 0 1]
343,[1 0 1 1 1]
344,[0 1 0 1 0]
345,[1 0 1 1 1]
346,[1 0 1 0 0]
347,[1 1 1 1 0]
348,[0 0 0 0 0]
349,[1 0 0 0 1]
350,[0 0 0 1 0]
351,[0 0 0 1 0]
352,[0 0 0 0 0]
353,[0 0 0 1 0]
354,[0 0 1 0 1]
355,[0 0 0 1 1]
356,[1 0 0 0 0]
357,[1 0 0 1 0]
358,[0 0 1 1 1]
359,[0 0 0 1 0]
360,[0 0 1 1 1]
361,[1 1 1 0 0]
362,[1 0 0 0 0]
363,[0 0 0 0 0]
364,[1 0 1 0 1]
365,[0 0 1 0 1]
366,[1 0 0 0 1]
367,[0 0 1 1 0]
368,[0 1 0 0 0]
369,[0 0 1 0 0]
370,[1 0 0 0 0]
371,[1 1 0 1 1]
372,[1 0 1 0 1]
373,[1 0 1 0 1]
374,[0 1 1 1 0]
375,[1 0 0 1 0]
376,[0 0 0 1 1]
377,[0 1 0 0 1]
378,[0 0 1 1 1]
379,[1 0 1 0 0]
380,[0 0 0 0 0]
