i,x
222,[1 0 0 0 1]
223,[0 0 0 1 1]
224,[1 1 0 0 1]
225,[1 0 0 1 0]
226,[0 0 1 1 1]
227,[0 0 0 0 1]
228,[0 0 0 1 1]
229,[0 0 0 1 0]
230,[0 0 0 1 1]
231,[1 0 0 0 1]
232,[1 0 0 1 1]
233,[0 0 0 1 1]
234,[1 0 1 0 1]
235,[1 1 0 0 1]
236,[1 0 0 0 1]
237,[1 0 0 0 0]
238,[1 1 0 0 1]
239,[0 0 0 0 0]
240,[1 1 1 1 0]
241,[0 0 1 1 0]
242,[1 0 1 1 0]
243,[0 1 0 1 1]
244,[1 0 1 1 0]
245,[0 0 0 0 0]
246,[0 0 0 0 1]
247,[1 1 0 0 1]
248,[1 0 0 0 0]
249,[1 1 0 0 0]
250,[1 0 0 0 1]
251,[0 0 0 1 1]
252,[1 1 0 1 1]
253,[0 0 0 0 0]
254,[1 0 0 0 1]
255,[0 1 0 0 0]
256,[1 1 0 0 1]
257,[0 0 0 0 0]
258,[0 0 0 0 0]
259,[0 0 0 0 0]
260,[1 0 1 1 0]
261,[0 1 0 1 0]
262,[0 0 0 1 0]
263,[0 0 1 1 1]
264,[0 0 1 0 0]
265,[0 0 0 0 0]
266,[1 0 0 1 0]
267,[0 0 0 0 0]
268,[0 0 0 0 0]
269,[1 0 0 1 0]
270,[1 0 0 1 0]
271,[0 0 0 0 0]
272,[0 0 0 1 0]
273,[0 0 0 1 0]
274,[0 0 0 0 1]
275,[0 0 0 1 0]
276,[0 0 1 0 0]
277,[0 0 0 1 1]
278,[1 0 0 1 0]
279,[1 0 1 0 0]
280,[1 0 0 0 0]
281,[0 0 0 0 0]
282,[0 0 0 1 0]
283,[0 0 0 0 0]
284,[0 0 1 0 0]
285,[1 0 0 0 0]
286,[0 0 1 1 0]
287,[0 0 0 0 0]
288,[1 0 0 0 0]
289,[1 0 0 0 0]
290,[0 0 0 0 0]
291,[1 0 0 0 0]
292,[0 0 0 1 0]
293,[0 0 0 1 0]
294,[1 0 0 0 0]
295,[0 0 0 0 0]
296,[0 0 1 0 0]
297,[0 0 0 1 0]
298,[0 0 0 0 0]
299,[0 0 1 0 0]
300,[0 0 0 0 1]
301,[0 1 1 1 1]
302,[0 1 1 1 1]
303,[0 1 1 1 1]
304,[0 1 1 1 1]
305,[0 0 1 1 1]
306,[0 0 1 1 1]
307,[0 1 1 1 1]
308,[0 1 1 1 1]
309,[0 1 1 1 1]
310,[0 1 1 1 1]
311,[0 0 1 1 1]
312,[0 1 1 1 1]
313,[0 1 1 1 1]
314,[1 1 1 1 1]
315,[0 1 1 1 1]
316,[0 1 1 1 1]
317,[0 1 1 1 1]
318,[0 1 1 1 1]
319,[0 1 1 1 1]
320,[0 1 1 1 1]
321,[0 1 0 1 1]
322,[0 0 1 1 1]
323,[0 1 1 1 0]
324,[0 1 1 1 1]
325,[0 1 1 1 1]
326,[0 1 1 1 1]
327,[0 1 1 1 1]
328,[0 1 1 1 1]
329,[0 1 1 1 1]
330,[0 1 1 1 1]
331,[0 1 1 1 1]
332,[0 1 1 0 1]
333,[0 1 1 1 1]
334,[0 1 1 1 1]
335,[0 0 1 1 1]
336,[0 1 1 1 0]
337,[1 1 1 1 1]
338,[0 1 1 1 1]
339,[1 1 1 0 1]
340,[0 1 1 1 1]
341,[0 0 1 1 1]
342,[0 1 1 1 1]
343,[0 1 1 1 1]
344,[0 1 1 1 1]
