i,x
319,[1 1 0]
320,[0 0 0]
321,[1 0 0]
322,[0 0 0]
323,[0 0 0]
324,[1 1 0]
325,[1 0 1]
326,[0 0 0]
327,[1 1 1]
328,[0 0 0]
329,[0 0 0]
330,[1 0 0]
331,[1 1 0]
332,[0 0 0]
333,[0 0 0]
334,[0 0 1]
335,[0 0 1]
336,[1 0 1]
337,[1 0 0]
338,[0 0 0]
339,[1 1 1]
340,[0 0 0]
341,[1 0 0]
342,[0 0 0]
343,[0 0 1]
344,[0 0 1]
345,[0 0 0]
346,[1 0 0]
347,[0 0 0]
348,[1 0 1]
349,[0 0 0]
350,[0 1 1]
351,[0 0 0]
352,[0 0 0]
353,[0 1 0]
354,[1 0 0]
355,[0 0 0]
356,[1 1 1]
357,[1 0 0]
358,[0 0 0]
359,[0 1 0]
360,[1 1 1]
361,[0 0 0]
362,[0 0 0]
363,[1 0 0]
364,[0 1 0]
365,[0 1 0]
366,[0 0 1]
367,[0 1 1]
368,[0 0 0]
369,[0 1 1]
370,[1 1 0]
371,[0 0 1]
372,[0 1 0]
373,[1 0 1]
374,[0 0 0]
375,[0 0 0]
376,[0 0 0]
377,[0 1 0]
378,[1 1 0]
379,[1 1 1]
380,[0 0 1]
381,[1 0 0]
382,[1 0 0]
383,[0 0 0]
384,[1 0 0]
385,[1 0 0]
386,[0 0 0]
387,[0 0 0]
388,[0 0 0]
389,[0 0 1]
390,[1 0 0]
391,[1 1 0]
392,[1 0 0]
393,[0 0 1]
394,[1 0 0]
395,[0 0 1]
396,[1 0 0]
397,[1 0 0]
398,[1 0 0]
399,[0 0 1]
400,[0 0 0]
401,[0 0 0]
402,[0 1 0]
403,[0 0 0]
404,[0 0 0]
405,[0 0 0]
406,[1 1 0]
407,[1 0 1]
408,[0 0 0]
409,[0 0 1]
410,[0 0 1]
411,[0 0 1]
412,[1 0 0]
413,[0 0 0]
414,[1 0 1]
415,[0 1 0]
416,[0 0 0]
417,[0 0 0]
418,[0 0 1]
419,[0 0 0]
420,[0 0 1]
421,[1 0 0]
422,[0 0 0]
423,[0 0 0]
424,[1 0 0]
425,[1 1 0]
426,[0 0 0]
427,[1 0 0]
428,[0 0 1]
429,[0 0 0]
430,[0 0 1]
431,[0 1 1]
432,[1 0 0]
433,[0 1 1]
434,[0 1 1]
435,[1 0 1]
436,[1 0 0]
437,[1 0 0]
438,[0 0 0]
439,[0 0 0]
440,[0 0 0]
441,[0 0 1]
442,[0 0 0]
443,[1 1 1]
444,[1 0 0]
445,[1 1 0]
446,[0 0 0]
447,[1 0 0]
448,[1 1 0]
449,[1 0 0]
450,[0 0 0]
451,[0 1 0]
452,[1 0 0]
453,[0 0 1]
454,[0 0 1]
455,[1 0 0]
456,[0 0 0]
457,[1 0 0]
458,[0 1 0]
459,[0 0 0]
460,[0 0 0]
461,[1 1 1]
462,[0 1 1]
463,[1 1 0]
464,[1 0 1]
465,[1 0 0]
466,[0 0 0]
467,[0 1 0]
468,[0 0 0]
469,[0 0 0]
470,[0 0 0]
471,[0 0 0]
472,[1 0 1]
473,[1 0 0]
474,[0 0 0]
475,[1 0 0]
476,[0 0 1]
477,[0 0 0]
478,[0 1 1]
479,[1 0 0]
480,[0 0 0]
481,[1 1 0]
482,[0 0 0]
483,[1 0 0]
484,[0 0 0]
485,[0 0 0]
486,[1 0 0]
487,[0 0 1]
488,[1 0 0]
489,[1 1 0]
490,[0 0 1]
491,[1 0 0]
492,[1 0 1]
493,[0 0 0]
494,[1 0 1]
495,[0 1 0]
496,[1 0 0]
497,[1 1 1]
498,[0 0 0]
499,[1 0 1]
500,[0 1 0]
501,[1 0 0]
502,[1 0 1]
503,[1 0 0]
504,[1 0 0]
505,[1 1 0]
506,[0 0 0]
507,[1 0 1]
508,[0 0 1]
509,[1 0 1]
510,[0 0 0]
511,[1 0 0]
512,[0 0 0]
513,[1 0 0]
514,[1 0 0]
515,[0 0 0]
516,[1 0 0]
517,[0 0 0]
518,[1 0 0]
519,[0 1 1]
520,[1 0 0]
521,[0 0 0]
522,[1 0 1]
523,[1 0 1]
524,[0 1 1]
525,[0 0 0]
526,[1 0 0]
527,[0 0 1]
528,[0 0 0]
529,[0 0 0]
530,[0 0 1]
531,[0 0 1]
532,[0 0 0]
533,[1 1 0]
534,[1 0 1]
535,[1 0 1]
536,[1 1 0]
537,[1 0 0]
538,[0 0 0]
539,[0 1 0]
540,[0 0 1]
541,[1 0 0]
542,[0 0 0]
543,[0 0 0]
544,[0 0 0]
545,[1 0 0]
546,[0 0 0]
547,[1 0 0]
548,[0 0 1]
549,[1 0 1]
550,[0 0 0]
551,[1 0 1]
552,[0 0 1]
553,[0 1 1]
554,[0 0 1]
555,[0 0 0]
556,[0 0 0]
557,[0 0 0]
558,[0 0 1]
559,[1 0 0]
560,[1 1 0]
561,[0 0 0]
562,[0 1 0]
563,[0 0 0]
564,[0 1 0]
565,[0 0 0]
566,[1 0 0]
567,[0 0 1]
568,[0 0 0]
569,[1 0 0]
570,[0 0 0]
571,[1 0 1]
572,[0 0 0]
573,[0 1 1]
574,[1 0 0]
575,[0 0 0]
576,[0 0 1]
577,[0 0 0]
578,[1 0 0]
579,[1 1 0]
580,[1 0 0]
581,[0 0 0]
582,[0 0 0]
583,[1 0 0]
584,[1 0 0]
585,[0 1 0]
586,[1 1 0]
587,[1 1 0]
588,[0 0 1]
589,[1 0 1]
590,[0 1 0]
591,[0 0 1]
592,[1 0 0]
593,[0 0 0]
594,[1 0 0]
595,[1 0 0]
596,[1 0 0]
597,[1 0 1]
598,[1 0 0]
599,[0 0 0]
600,[1 0 1]
601,[0 0 0]
602,[1 1 0]
603,[1 1 1]
604,[0 1 1]
605,[0 0 0]
606,[1 1 0]
607,[1 1 1]
608,[0 0 0]
609,[1 1 1]
610,[0 0 0]
611,[1 1 1]
612,[0 0 0]
613,[0 0 0]
614,[0 0 0]
615,[1 0 0]
616,[1 0 1]
617,[1 1 0]
618,[1 0 1]
619,[0 0 0]
620,[0 0 0]
621,[1 0 0]
622,[1 0 1]
623,[1 0 1]
624,[0 0 1]
625,[1 0 0]
626,[1 0 1]
627,[1 0 0]
628,[1 1 1]
629,[0 1 1]
630,[1 1 0]
631,[1 0 0]
632,[1 1 0]
633,[1 0 1]
634,[0 0 1]
635,[0 0 0]
636,[1 0 0]
637,[0 1 0]
638,[1 0 1]
639,[0 0 0]
640,[0 0 0]
641,[0 0 1]
642,[1 1 0]
643,[1 0 0]
644,[0 0 1]
645,[0 0 0]
646,[1 0 1]
647,[1 0 0]
648,[0 0 0]
649,[1 0 1]
650,[0 0 0]
651,[0 0 0]
652,[0 0 0]
653,[1 0 0]
654,[0 1 1]
655,[0 0 0]
656,[0 0 0]
657,[1 0 0]
658,[0 0 0]
659,[0 0 1]
660,[1 0 0]
661,[0 0 1]
662,[0 1 1]
663,[0 0 0]
664,[1 1 0]
665,[1 0 1]
666,[0 0 1]
667,[1 1 0]
668,[0 0 0]
669,[0 0 0]
670,[1 1 1]
671,[1 0 1]
672,[1 0 0]
673,[0 0 0]
674,[0 0 0]
675,[1 0 0]
676,[1 0 0]
677,[0 0 1]
678,[1 0 0]
679,[0 1 0]
680,[0 0 0]
681,[1 0 0]
682,[0 0 0]
683,[0 0 0]
684,[1 0 0]
685,[0 0 0]
686,[0 0 1]
687,[1 0 1]
688,[0 1 1]
689,[0 0 0]
690,[0 1 1]
691,[0 0 0]
692,[0 0 0]
693,[1 0 1]
694,[1 0 1]
695,[0 0 1]
696,[0 1 0]
697,[1 0 0]
698,[1 0 1]
699,[0 0 0]
700,[0 0 0]
701,[1 0 1]
702,[0 0 1]
703,[0 0 0]
704,[0 1 0]
705,[0 0 0]
706,[1 1 0]
707,[1 0 0]
708,[0 1 1]
709,[0 0 0]
710,[0 0 1]
711,[1 0 1]
712,[0 0 1]
713,[0 0 0]
714,[1 0 0]
715,[0 0 0]
716,[0 0 0]
717,[0 0 0]
718,[1 0 0]
719,[0 0 1]
720,[0 0 0]
721,[1 0 0]
