i,x
228,[1 1 0 0 1]
229,[0 0 0 0 0]
230,[0 0 1 0 1]
231,[0 0 0 0 0]
232,[0 0 0 0 0]
233,[0 0 0 0 0]
234,[0 0 0 0 0]
235,[1 0 0 1 1]
236,[1 1 1 1 1]
237,[1 0 0 0 1]
238,[1 0 1 0 0]
239,[0 0 0 1 0]
240,[0 0 0 0 0]
241,[0 0 0 0 0]
242,[0 0 0 0 0]
243,[0 0 0 1 1]
244,[1 1 1 1 1]
245,[0 0 0 0 0]
246,[1 1 0 0 0]
247,[0 0 0 0 0]
248,[0 0 0 0 0]
249,[1 1 0 0 0]
250,[0 1 0 1 0]
251,[1 1 0 1 1]
252,[1 0 0 1 1]
253,[1 0 0 1 1]
254,[1 1 0 0 0]
255,[0 0 0 0 0]
256,[0 1 0 0 0]
257,[0 1 0 0 1]
258,[0 1 0 0 0]
259,[0 0 0 1 0]
260,[0 1 1 1 0]
261,[0 0 0 0 1]
262,[0 0 0 0 0]
263,[1 0 0 1 1]
264,[0 0 0 0 0]
265,[1 0 1 0 0]
266,[0 0 0 0 0]
267,[0 0 0 0 0]
268,[1 1 1 1 0]
269,[0 0 0 0 1]
270,[0 0 0 1 0]
271,[1 0 0 1 1]
272,[0 0 0 0 0]
273,[1 0 0 1 0]
274,[0 0 0 0 0]
275,[1 0 0 1 0]
276,[0 1 0 1 0]
277,[1 0 0 0 1]
278,[0 0 0 0 0]
279,[0 0 0 0 0]
280,[0 0 0 1 0]
281,[0 0 0 0 0]
282,[0 0 0 0 1]
283,[0 0 0 0 0]
284,[1 0 0 1 1]
285,[0 0 0 0 0]
286,[1 0 0 0 1]
287,[0 0 0 0 0]
288,[0 0 0 0 0]
289,[0 0 0 0 0]
290,[0 1 1 0 1]
291,[0 0 0 0 1]
292,[0 0 0 0 0]
293,[0 0 1 0 0]
294,[0 0 0 0 0]
295,[0 1 0 1 1]
296,[0 0 0 0 1]
297,[0 0 0 0 0]
298,[1 0 1 1 0]
299,[0 0 1 0 1]
300,[1 0 0 0 0]
301,[1 1 1 1 0]
302,[0 0 0 0 0]
303,[0 1 0 1 1]
304,[1 0 0 0 1]
305,[0 0 0 0 1]
306,[1 1 0 0 0]
307,[0 1 1 0 0]
308,[1 1 0 0 1]
309,[0 0 1 1 0]
310,[1 1 0 1 0]
311,[0 0 0 0 0]
312,[1 0 0 0 0]
313,[1 0 0 1 1]
314,[1 0 0 0 1]
315,[0 0 0 0 0]
316,[0 1 1 1 0]
317,[1 0 0 0 1]
318,[0 1 0 0 0]
319,[0 1 0 1 0]
320,[0 1 0 0 0]
321,[0 0 0 0 0]
322,[1 0 1 1 1]
323,[0 0 0 1 0]
324,[0 0 1 0 1]
325,[0 0 1 0 1]
326,[1 1 0 1 0]
327,[0 1 0 0 1]
328,[0 0 0 1 0]
329,[0 1 0 0 1]
330,[0 0 0 0 1]
331,[0 0 0 0 0]
332,[0 0 0 0 0]
333,[0 0 0 0 0]
334,[1 0 1 1 0]
335,[0 0 1 0 0]
336,[0 0 1 1 0]
337,[1 0 1 1 0]
338,[0 0 0 0 1]
339,[0 0 0 0 0]
340,[1 0 0 1 0]
341,[0 1 0 0 0]
342,[0 1 0 0 1]
343,[0 1 0 0 0]
344,[0 0 0 0 0]
345,[0 1 1 0 0]
346,[0 0 0 0 0]
347,[1 0 1 0 0]
348,[1 1 0 0 0]
349,[0 0 0 0 0]
350,[1 0 0 0 0]
351,[0 0 0 0 0]
352,[0 1 0 0 0]
353,[0 1 0 0 1]
354,[0 0 0 0 0]
355,[1 1 1 0 1]
356,[0 1 0 1 1]
357,[1 1 1 1 0]
358,[0 0 0 0 0]
359,[1 1 0 0 0]
360,[0 1 1 0 0]
361,[0 0 0 0 0]
362,[0 0 0 0 0]
363,[0 0 0 0 1]
364,[0 0 0 0 0]
365,[0 1 1 1 0]
366,[0 0 0 0 1]
367,[1 1 1 0 0]
368,[0 1 0 1 1]
369,[0 0 0 0 0]
370,[1 0 0 0 1]
371,[0 0 0 0 1]
372,[0 0 0 0 0]
373,[1 0 0 0 1]
374,[0 1 1 1 0]
375,[1 1 0 1 0]
376,[0 0 0 1 0]
377,[0 1 0 0 1]
378,[0 0 1 1 0]
379,[0 1 1 1 0]
380,[0 0 0 0 0]
381,[0 1 1 0 0]
382,[0 0 0 0 0]
383,[0 0 1 0 1]
384,[0 1 1 0 0]
385,[0 0 0 0 0]
386,[1 0 0 0 0]
387,[1 1 1 0 0]
388,[0 0 0 0 0]
389,[1 0 0 1 0]
390,[0 0 0 1 0]
391,[1 1 0 1 1]
392,[1 0 0 1 1]
393,[0 1 0 0 0]
394,[1 1 0 1 0]
395,[1 0 1 0 1]
396,[1 1 0 0 0]
397,[0 0 0 0 0]
398,[0 0 0 0 0]
399,[0 0 0 0 0]
400,[0 0 0 0 0]
401,[0 1 1 0 1]
402,[1 1 1 0 1]
403,[0 0 0 1 0]
404,[0 0 0 1 1]
405,[0 1 1 0 1]
406,[0 0 0 1 0]
407,[1 0 1 0 1]
408,[0 1 1 0 0]
409,[0 0 0 1 0]
410,[0 1 1 0 1]
411,[1 0 0 1 0]
412,[1 0 1 0 0]
413,[0 0 0 0 0]
414,[1 1 0 0 1]
415,[0 0 0 0 0]
416,[0 0 0 0 0]
417,[0 1 0 1 1]
418,[0 1 1 1 1]
419,[1 0 0 1 1]
420,[1 0 0 1 0]
421,[0 1 0 0 1]
422,[0 0 0 0 0]
423,[0 0 0 0 0]
424,[0 0 0 0 1]
425,[0 1 0 0 1]
426,[0 1 1 1 0]
427,[0 0 0 0 0]
428,[0 1 0 0 1]
429,[1 0 0 0 0]
430,[0 1 0 0 0]
431,[0 1 0 0 1]
432,[0 1 0 0 1]
433,[0 0 0 0 0]
434,[1 1 1 1 1]
435,[1 0 1 1 1]
436,[0 0 0 0 0]
437,[0 0 0 0 1]
438,[0 0 0 0 0]
439,[0 1 0 0 1]
440,[1 0 0 0 1]
441,[0 1 1 0 1]
442,[0 0 0 0 0]
443,[0 0 0 0 0]
444,[0 0 0 0 0]
445,[0 0 0 0 0]
446,[0 0 0 0 1]
447,[0 1 1 0 1]
448,[1 0 0 1 1]
449,[1 1 0 1 1]
450,[1 0 0 1 0]
451,[0 0 0 0 0]
452,[1 0 0 0 1]
453,[1 1 0 0 1]
454,[0 0 0 0 0]
455,[1 1 0 0 0]
456,[0 0 0 0 0]
457,[1 1 0 0 1]
458,[0 0 1 0 1]
459,[0 1 0 1 0]
460,[0 0 1 0 1]
461,[0 0 1 0 1]
462,[1 1 1 1 0]
463,[0 0 0 1 1]
464,[1 0 0 0 1]
465,[1 1 0 0 0]
466,[0 1 0 0 0]
467,[1 0 0 0 0]
468,[1 0 1 1 0]
469,[0 1 0 0 1]
470,[0 0 0 0 1]
471,[0 0 0 0 0]
472,[1 0 0 0 1]
473,[0 0 0 0 0]
474,[0 0 0 0 0]
475,[0 0 1 0 0]
476,[0 1 0 0 0]
477,[1 0 0 0 1]
478,[0 0 0 0 0]
479,[0 0 0 0 0]
480,[1 0 0 0 1]
