i,distance
0,1.9471654370784337
1,1.9085447788057115
2,1.8639237901066692
3,1.8377920258556613
4,1.8100449232965186
5,1.7999326359707701
6,1.794985598463595
7,1.7830240000145192
8,1.7760513440042538
9,1.740611214681958
10,1.7029065092068063
11,1.7033642649681653
12,1.6845616851468113
13,1.6706818285156768
14,1.6511646798795225
15,1.6125939623590018
16,1.5980186972924528
17,1.593059380969875
18,1.5593155802769196
19,1.5486016512241427
20,1.53963612858138
21,1.5312375790405008
22,1.5122495490959549
23,1.5134800505543338
24,1.5108952703095735
25,1.4901762526085707
26,1.4899355281887663
27,1.490702692566832
28,1.4837372651697092
29,1.4874908704721288
30,1.486766853319228
31,1.4778997876910656
32,1.4612800470470426
33,1.4434169913487782
34,1.4402525876246535
35,1.4372825565271226
36,1.433487509460391
37,1.4342791973489915
38,1.430221136130239
39,1.431670838504278
40,1.435936097712777
41,1.4353496374368568
42,1.4307218310873926
43,1.4317519551747624
44,1.4337879015737924
45,1.4379675262004437
46,1.4418733978115694
47,1.4415502962890352
48,1.4419245874111979
49,1.4380577684164377
50,1.43412619175409
51,1.4208449763511242
52,1.4089798632667327
53,1.4039269867996982
54,1.395303680739108
55,1.3768428174767258
56,1.3643483426801781
57,1.361249074490848
58,1.3450061264827298
59,1.3445391322670095
60,1.3350645781507295
61,1.3267960165628467
62,1.3204311092597578
63,1.3241912128583597
64,1.3243865027495914
65,1.3239106403613798
66,1.3161443298311002
67,1.3120182993020266
68,1.3030459918407749
69,1.3021014348533235
70,1.3040085183560406
71,1.3051078721719978
72,1.3053185366204807
73,1.3076125108545842
74,1.308874796854668
75,1.3094975702356684
76,1.3082719011399178
77,1.309553737176273
78,1.3083069137445311
79,1.3089665403930342
80,1.3052760515243091
81,1.3027777218867793
82,1.3042278714180613
83,1.2983971909205234
84,1.2976381585064822
85,1.2988977325763544
86,1.3005126529988258
87,1.3029541066170982
88,1.2987778826451475
89,1.295053005524104
90,1.2984925293084122
91,1.298270531814408
92,1.2935530303295621
93,1.2948625913318685
94,1.288225651354698
95,1.2898499297594634
96,1.2899058598694473
97,1.2913456493616617
98,1.2879340491379427
99,1.2870957463883594
100,1.2857290710292264
101,1.2868865352006749
102,1.2864453435979932
103,1.27768026145079
104,1.2795721000702984
105,1.279145599061907
106,1.2798740307743195
107,1.2771907869826242
108,1.2766803040928414
109,1.2725973688896839
110,1.2673736751068696
111,1.2674522417237502
112,1.2678980747388273
113,1.2668891824142756
114,1.268988996213721
115,1.2715587113561502
116,1.2698072360286752
117,1.2699509511849745
118,1.2669809519611843
119,1.2662157769017885
120,1.2636469202444256
121,1.2618843380351263
122,1.2590699473785023
123,1.254770921495904
124,1.2558338448290614
125,1.2562435140219992
126,1.254015843154699
127,1.255721485344144
128,1.2514770121498104
129,1.2541184669685919
130,1.2550610560544404
131,1.253100024637839
132,1.250335754221799
133,1.2529553633481614
134,1.2519440129618802
135,1.2511173972411682
136,1.253066731719485
137,1.2509135701798137
138,1.252747458008268
139,1.2527497039878068
140,1.2539278089538226
141,1.2527163579257936
142,1.2481309441708186
143,1.2468955125274197
144,1.2474826050983512
145,1.2485742077779518
146,1.250636213840016
147,1.2440098761707281
148,1.2406247164706192
149,1.2379298898498758
150,1.2380539276517013
151,1.237175477297557
152,1.237285556416924
153,1.2378348955281897
154,1.2340077740827629
155,1.2347539266418153
156,1.2358456282486139
157,1.2340384632314088
158,1.2325035953573953
159,1.2308139729138075
160,1.2328438426946742
161,1.234382417621434
162,1.2331930884954914
163,1.2345935167360882
164,1.2361441449696433
165,1.2342631087590823
166,1.2306622484592875
167,1.2317326195778735
168,1.231281628511295
169,1.2273650902508928
170,1.228171115665139
171,1.22733544714347
172,1.2278632321220107
173,1.225669401604518
174,1.2234374327180646
175,1.2256001011979603
176,1.2245790517763075
177,1.2205111719920043
178,1.221968707614376
179,1.222598320626383
180,1.2240334213993704
181,1.2243189218676012
182,1.225106258842779
183,1.2256825569554541
184,1.2266424851706927
185,1.227149824942309
186,1.2287290417857242
187,1.2287742857789552
188,1.2238197596505005
189,1.2258744127809982
190,1.2236625549195972
191,1.2216377577935829
192,1.2226375355062125
193,1.2216804461004167
194,1.2208455117009986
195,1.22103585787131
196,1.2187475415968236
197,1.2200488241888106
198,1.2164344733435803
199,1.2148215135538205
