i,distance
0,0.41047109577104746
1,0.4504710957710475
2,0.5348673651503408
3,0.5015340318170074
4,0.4655340318170075
5,0.46153403181700753
6,0.4529626032455789
7,0.4665340318170075
8,0.477089587372563
9,0.4735340318170075
10,0.5033522136351892
11,0.49153403181700756
12,0.48768787797085367
13,0.48153403181700744
14,0.4762006984836742
15,0.4640340318170074
16,0.4580046200523016
17,0.45708958737256306
18,0.45837613708016545
19,0.45153403181700746
20,0.45105784134081706
21,0.4651703954533712
22,0.4780557709474422
23,0.48153403181700755
24,0.4863340318170075
25,0.49076480104777676
26,0.4978303281133038
27,0.4943911746741503
28,0.48843058354114544
29,0.48820069848367414
30,0.49185661246216883
31,0.4952840318170074
32,0.4888067590897348
33,0.487416384758184
34,0.47810546038843604
35,0.47796151910558327
36,0.47910266024672443
37,0.4801837413278055
38,0.48358531386828957
39,0.4855340318170075
40,0.48738769035359286
41,0.4891530794360551
42,0.48990612484026325
43,0.49244312272609847
44,0.4926281857722499
45,0.48974895871910984
46,0.49174679777445435
47,0.4926837413278055
48,0.4956939454094382
49,0.49618374132780557
50,0.49822295701408004
51,0.4984571087400845
52,0.49889252238304516
53,0.49931180959478527
54,0.4997158499988257
55,0.4986768889598646
56,0.4955691195363057
57,0.49670644561011096
58,0.5005170826644652
59,0.4995340318170075
60,0.5005504252596304
61,0.49766306407507194
62,0.4974070476900234
63,0.49465903181700743
64,0.4975340318170075
65,0.493049183332159
66,0.4898922407722313
67,0.4885928553464193
68,0.48907026370106543
69,0.4912483175312932
70,0.48998473604235965
71,0.4904229207058964
72,0.48920526469371983
73,0.4896421399251156
74,0.4852673651503408
75,0.4831129791854285
76,0.4825729928559686
77,0.48358531386828957
78,0.4845720065005518
79,0.48268374132780556
80,0.48215904996978076
81,0.48359837547414697
82,0.4830753075928657
83,0.48494564608971025
84,0.48536021191604073
85,0.48390467156036365
86,0.48478144247723076
87,0.48427465041871465
88,0.4837812228282435
89,0.4842006984836742
90,0.4828527131356888
91,0.4841427274691814
92,0.4827643864890958
93,0.48195956373190113
94,0.48144689922254236
95,0.48226707466113883
96,0.48265796813192924
97,0.48344904745025447
98,0.4809918221358863
99,0.4807340318170075
100,0.4819300714209679
101,0.48388697299347805
102,0.483475779389823
103,0.4842263395093152
104,0.48458165086462657
105,0.4860623337037999
106,0.48415085424691406
107,0.4852377355207112
108,0.4859377015417782
109,0.4873522136351893
110,0.4865790768620526
111,0.48867688895986466
112,0.4903835893391314
113,0.490305961641569
114,0.4895340318170075
115,0.489809893885973
116,0.4897391600221357
117,0.489330641986499
118,0.4892651242539823
119,0.48986736515034085
120,0.48913733760213146
121,0.48809140886618785
122,0.4890137066137555
123,0.48927596730087847
124,0.4920940318170075
125,0.4904229207058964
126,0.4909828507146453
127,0.48903403181700744
128,0.48866581476274396
129,0.4873801856631613
130,0.4873355585345648
131,0.4882006984836742
132,0.4884513250500902
133,0.48660865868267916
134,0.48775625403922973
135,0.48918109064053694
136,0.48854133108708053
137,0.489649973845993
138,0.49045489512636
139,0.4898197461027218
140,0.49004467011487984
141,0.4913931867465849
142,0.49160396188693756
143,0.4920895873725631
144,0.49091334216183513
145,0.4911230729128979
146,0.4905136236537422
147,0.48883132911430477
148,0.4890508103404974
149,0.48926736515034086
150,0.4886863496978022
151,0.48890245286963907
152,0.4883314174379226
153,0.4867288370118127
154,0.4874695156879753
155,0.48589300617598186
156,0.486120019078154
157,0.48685048751321003
158,0.48732019533902005
159,0.4865340318170075
160,0.4860060815064484
161,0.4862253898416989
162,0.4849696146390934
163,0.48494866596334896
164,0.48565524393821957
165,0.4865942727808629
166,0.4875220557691033
167,0.4879626032455789
168,0.4872145051897885
169,0.487651678875831
170,0.4866802306474169
171,0.48618519460770515
172,0.4875455925106491
173,0.48705127319631786
174,0.48610546038843605
175,0.4853976681806439
176,0.4842458962237871
177,0.4842306610304906
178,0.48309827762706337
179,0.4824229207058964
180,0.4817550262921456
181,0.4826329329159086
182,0.48262692799187085
183,0.4832731622517901
184,0.48304754533052097
185,0.4843297307417387
186,0.48452868422342454
187,0.4838744573489224
188,0.48343879372176946
189,0.48384982129069176
190,0.4832094244871646
191,0.4834090318170075
192,0.4827775551330697
193,0.48318351635309004
194,0.4823545446375203
195,0.4825544399802728
196,0.4825492602434034
197,0.48294817323114897
198,0.48233805191751
199,0.48193403181700745
