i,distance
0,1.9022693665677737
1,1.8822693665677737
2,1.899102088612723
3,1.8924354219460564
4,1.8884354219460564
5,1.8857687552793898
6,1.883863993374628
7,1.8824354219460564
8,1.8902131997238343
9,1.8924354219460562
10,1.8942536037642381
11,1.899102088612723
12,1.9032046527152873
13,1.903863993374628
14,1.907102088612723
15,1.9074354219460563
16,1.907729539593115
17,1.907990977501612
18,1.9103301587881618
19,1.9104354219460564
20,1.9105306600412946
21,1.9087990583096928
22,1.9002615089025783
23,1.8957687552793898
24,1.8916354219460563
25,1.8908969604075945
26,1.890213199723834
27,1.8895782790889135
28,1.8834699047046772
29,1.8857687552793898
30,1.8801773574299274
31,1.8799354219460562
32,1.8809202704309047
33,1.8806707160637035
34,1.879292564803199
35,1.8779909775016121
36,1.8800029895136239
37,1.8766459482618458
38,1.8744867039973385
39,1.8704354219460564
40,1.8704842024338613
41,1.8714830409936754
42,1.8715051893879169
43,1.8724354219460564
44,1.874213199723834
45,1.8759136828156215
46,1.8775418049247796
47,1.87826875527939
48,1.8773333811297297
49,1.8756354219460563
50,1.8771413042989975
51,1.870896960407595
52,1.8716807049649242
53,1.8724354219460562
54,1.8724354219460562
55,1.873149707660342
56,1.8745406851039512
57,1.8745043874632976
58,1.875825252454531
59,1.8757687552793896
60,1.8757141104706465
61,1.8756612283976692
62,1.8762449457555803
63,1.8755604219460564
64,1.87428157579221
65,1.8754657249763593
66,1.8760175114982949
67,1.8771413042989975
68,1.8747542625257665
69,1.8747211362317708
70,1.8752523233545069
71,1.8763243108349452
72,1.8768189835898919
73,1.8767597462703807
74,1.875102088612723
75,1.874540685103951
76,1.8739938635044977
77,1.8744867039973383
78,1.8749670675156767
79,1.8749354219460561
80,1.8758922120695132
81,1.8763378609704464
82,1.87580891592196
83,1.8757687552793896
84,1.8762001278284095
85,1.877086584736754
86,1.8779526633253665
87,1.878799058309693
88,1.8796264331820116
89,1.879102088612723
90,1.8799079494185837
91,1.878957161076491
92,1.8797472499030456
93,1.880520528329035
94,1.8800143693144773
95,1.8799354219460562
96,1.8782086178223452
97,1.8785578709256479
98,1.8780919876026219
99,1.8772354219460563
100,1.8748116595698188
101,1.875572676848017
102,1.8739888200043089
103,1.8739738834845179
104,1.8747211362317708
105,1.8754542898705846
106,1.8754260761516637
107,1.8757687552793896
108,1.8757381742396344
109,1.8746172401278747
110,1.8753183048289388
111,1.8749354219460563
112,1.875267280353136
113,1.8755933166828984
114,1.8759136828156218
115,1.876573352980539
116,1.8768798663905006
117,1.877181184657921
118,1.8771413042989975
119,1.8767687552793895
120,1.8767329426072132
121,1.8766977170280237
122,1.8756874544663815
123,1.876306389687992
124,1.8762754219460565
125,1.8762449457555799
126,1.8762149495051113
127,1.8768104219460564
128,1.8764664296979943
129,1.876127729638364
130,1.8764048875949115
131,1.8745566340672686
132,1.8742399332242519
133,1.873330944334116
134,1.8736206071312413
135,1.8742001278284093
136,1.8741872467635745
137,1.8747542625257665
138,1.8747375802194375
139,1.874149707660342
140,1.8738538616623683
141,1.874407252931972
142,1.8749529044635387
143,1.8754909775016122
144,1.8757457667736426
145,1.8749011753707139
146,1.8751565103814307
147,1.8754083949190292
148,1.8756568984561233
149,1.875902088612723
150,1.8764089318798314
151,1.8769091061565826
152,1.8774027422074941
153,1.8760717855824198
154,1.8757902606557337
155,1.8760251655358
156,1.876002300926948
157,1.876232890300487
158,1.8757058621976288
159,1.8751854219460564
160,1.8744229995858077
161,1.873916903427538
162,1.8741532133570993
163,1.8743866414582515
164,1.87437481588545
165,1.8746040966448514
166,1.874351589610727
167,1.8745782790889134
168,1.8748022858513818
169,1.8743177748872328
170,1.8743067669752962
171,1.8747610033414053
172,1.8749787745472126
173,1.8754239276931828
174,1.875863993374628
175,1.8753899674006018
176,1.874469320251141
177,1.8746826129572924
178,1.8746700588175647
179,1.8748798663905006
180,1.8746453666974376
181,1.875072784583419
182,1.8750583727657284
183,1.8739571610764914
184,1.872002989513624
185,1.8696397230213253
186,1.8694407695396391
187,1.869669464499248
188,1.8701073796180139
189,1.869698579840793
190,1.869712908857051
191,1.8695187552793897
192,1.869326613655901
193,1.8695488240079121
194,1.8699738834845179
195,1.8703946056195258
196,1.8702019194079853
197,1.8704152199258544
198,1.8706263767199256
199,1.8706354219460564
