i,distance
0,1.962713111695562
1,1.9574815438052293
2,1.952103579576928
3,1.923223570571031
4,1.918392150395504
5,1.9128185658491543
6,1.9072105017117487
7,1.8522203768702106
8,1.8481736761478178
9,1.8478121083955596
10,1.8350469391028412
11,1.8207237131936007
12,1.7976866240807599
13,1.7904793540447903
14,1.7928216945150242
15,1.7894534533338806
16,1.7597095910680531
17,1.7200900211474122
18,1.7039559770265793
19,1.690881496866744
20,1.6761870448838123
21,1.6753382430082409
22,1.6719309949827459
23,1.6602607791798898
24,1.6604026211236054
25,1.6621285693806436
26,1.6590974033259418
27,1.6495131669985779
28,1.646394237523823
29,1.6282350071351124
30,1.599252622948009
31,1.5793129114326667
32,1.563738533172673
33,1.552824257941543
34,1.5496116523563015
35,1.5258487741495972
36,1.5170709173424521
37,1.5194756204969133
38,1.5164783776806479
39,1.513707425451116
40,1.509109064057793
41,1.5055254839102856
42,1.5060231676478304
43,1.4806907129441296
44,1.4574581806489315
45,1.4515105110567232
46,1.4543997944921205
47,1.4477254184379187
48,1.4446437692246465
49,1.4440437675284161
50,1.4445324188322213
51,1.4399961721837187
52,1.425399902543603
53,1.4296486796225687
54,1.4335774756381308
55,1.4377753036865397
56,1.4363981759821023
57,1.4369874196328016
58,1.4388768318038263
59,1.4340888276104944
60,1.4304611114118302
61,1.430619547700816
62,1.4219203185075875
63,1.417891448259379
64,1.4125911249777698
65,1.409782898435925
66,1.4068156730544596
67,1.399390349771066
68,1.3976181826248797
69,1.4012919434275732
70,1.4048931091858465
71,1.4020108427612223
72,1.4046477554386891
73,1.4027898885021224
74,1.3929918899920124
75,1.385527863439937
76,1.3828687831504463
77,1.3732473818844917
78,1.3594577390568618
79,1.34068369204393
80,1.3296380670809462
81,1.33193059672164
82,1.3278998677569835
83,1.3269547557598438
84,1.3241936976946502
85,1.3087046308881907
86,1.297249318131473
87,1.3008330026787878
88,1.2925786358343716
89,1.2894151041999353
90,1.2927542614943104
91,1.2960990898822269
92,1.2973587816618446
93,1.3003193196219747
94,1.303450338658929
95,1.3003965344400823
96,1.2966442661825672
97,1.2965251338449946
98,1.29791415332757
99,1.3002996459702745
100,1.293468769605648
101,1.2893664441116324
102,1.290363303666104
103,1.2886340199415267
104,1.282948044480109
105,1.276010614274409
106,1.2711412081130122
107,1.274557615174279
108,1.2772090968694707
109,1.2758712584372311
110,1.2694907244336902
111,1.265724528659195
112,1.2590155324475931
113,1.2492686493353051
114,1.2492789871678347
115,1.2522194229064336
116,1.2554613916656439
117,1.2580876726581494
118,1.2611881068037893
119,1.260250621096254
120,1.2481308984115542
121,1.2361939612101862
122,1.22568098989054
123,1.220918324671735
124,1.215685888404825
125,1.2183688054620156
126,1.2185291495545107
127,1.2107584912181144
128,1.2134494162664866
129,1.2163357795232876
130,1.219208301053558
131,1.2214487324713268
132,1.222439732962799
133,1.2226641261770632
134,1.2252069675258748
135,1.2274470103832567
136,1.2248512014585318
137,1.2207323893816477
138,1.2166248229970003
139,1.2169213573630544
140,1.2101023334738112
141,1.2108682982639023
142,1.2100943889608848
143,1.2120031077425844
144,1.2112365298371266
145,1.2106585391267164
146,1.2066735236676516
147,1.2085660329341505
148,1.2088834644596358
149,1.2107265305749362
150,1.213431648319677
151,1.2124332235579933
152,1.2144913251935607
153,1.2154777902417555
154,1.2161378674536363
155,1.2167823781679448
156,1.2178281671667794
157,1.21916171550186
158,1.2205469669154612
159,1.2214897630962906
160,1.2220340028334653
161,1.2242637487544306
162,1.2265861344016242
163,1.2273582427362046
164,1.2297037505274298
165,1.229053374233327
166,1.2269618942417906
167,1.2236790752849553
168,1.2190003536671354
169,1.2209882430344183
170,1.2232061165452457
171,1.2238245613046874
172,1.2238562257457515
173,1.225144731009863
174,1.224166995242662
175,1.2202947707802911
176,1.2158201170266152
177,1.216441989827033
178,1.2173192714008223
179,1.219508742921306
180,1.2217119531262246
181,1.2235471589490392
182,1.2248515803432074
183,1.2207478387717152
184,1.2175894067231874
185,1.2182257182845126
186,1.2181675523813436
187,1.2191873742594956
188,1.2205885533828789
189,1.2228196904881288
190,1.2223644629411456
191,1.220905470626237
192,1.218248147874303
193,1.2167276536460325
194,1.2161085866258272
195,1.2104898573668306
196,1.2104655752231648
197,1.2126654801470202
198,1.2132473607576113
199,1.2154307718273771
200,1.215810555654608
201,1.217978239386322
202,1.2201276950995679
203,1.2212743924286211
204,1.2163505336809222
205,1.213452452203701
206,1.2107162874861281
207,1.211450240793501
208,1.2101135118874875
209,1.2070487655328184
210,1.203331063598145
211,1.202626395829626
212,1.20203090362841
213,1.1971741780452527
214,1.1924060593651333
215,1.1933239491653942
216,1.1948468300229804
217,1.1969098190368244
218,1.1988429647616705
219,1.2005254781671648
220,1.200320199157053
221,1.200459929466185
222,1.1959120239154881
223,1.1950217803516978
224,1.1935414787323015
225,1.1930019396586977
226,1.1898772677752822
227,1.191848053004458
228,1.1938056263326386
229,1.1926424750428173
230,1.1918493727464692
231,1.191455060264603
232,1.1916582679020669
233,1.1935694230321061
234,1.1946132491823154
235,1.1948777288985695
236,1.192130578005213
237,1.1919816576775881
238,1.1938465626694232
239,1.1951963758146835
240,1.1935384341694424
241,1.1951341720142583
242,1.1968013488329505
243,1.197717639291772
244,1.1992010975621388
245,1.2007760955230156
246,1.2024157950119418
247,1.2034843913292028
248,1.2042874449677805
249,1.2042072621340774
250,1.2054538186968249
251,1.2029294401039459
252,1.1991535647654121
253,1.1961838779310145
254,1.1952033808310751
255,1.1964120489813768
256,1.1980067717440228
257,1.19961490921002
258,1.200049975465087
259,1.1996612870940733
260,1.1971369062310036
261,1.1932347149984963
262,1.1894781101825356
263,1.1860406368120517
264,1.1846744897802646
265,1.1843188903161863
266,1.181781155835423
267,1.1790135332740723
268,1.1792388310596849
269,1.17975061679871
270,1.1769022634253343
271,1.1754542046424667
272,1.1771531919296896
273,1.1781155270991168
274,1.1796770503903098
275,1.1800193454963557
276,1.1805578205341276
277,1.1816722343899246
278,1.1820548184436892
279,1.1831580616078958
280,1.184803773365061
281,1.1861706973329835
282,1.1862681405038016
283,1.1865171234951097
284,1.1881366993397395
285,1.1877256202031856
286,1.18882154518748
287,1.1887580280850913
288,1.1896286012146025
289,1.1867604041144695
290,1.1842537393294312
291,1.1827556069206993
292,1.1832669162871874
293,1.181519660285198
294,1.1827145976274425
295,1.182978685258229
296,1.181610899548915
297,1.1819530232467432
298,1.1814736360902516
299,1.182096093948661
300,1.1823246653772326
301,1.1822632065412848
302,1.1838005920679167
303,1.1853278632160844
