i,x
0,[0 1 1 1 0]
1,[0 1 1 0 0]
2,[0 1 1 0 1]
3,[0 1 1 1 1]
4,[0 1 1 1 1]
5,[0 1 1 1 1]
6,[0 1 1 1 1]
7,[0 1 1 1 1]
8,[0 1 1 1 1]
9,[1 1 1 1 0]
10,[1 0 1 1 1]
11,[1 1 1 1 1]
12,[0 1 1 1 1]
13,[0 1 1 1 1]
14,[0 0 1 1 1]
15,[0 0 0 1 1]
16,[0 1 1 1 1]
17,[0 0 1 1 1]
18,[0 1 1 1 0]
19,[1 0 1 1 1]
20,[1 0 1 0 1]
21,[1 1 1 1 1]
22,[1 1 1 1 1]
23,[1 1 1 1 1]
24,[1 1 1 1 1]
25,[1 1 1 1 1]
26,[1 1 1 1 1]
27,[1 1 1 1 1]
28,[1 1 1 1 1]
29,[1 1 1 1 1]
30,[1 1 1 1 1]
31,[1 1 1 1 1]
32,[1 1 1 1 1]
33,[1 1 1 1 1]
34,[1 1 1 1 1]
35,[1 0 1 1 1]
36,[1 1 1 0 1]
37,[1 1 1 1 1]
38,[1 1 1 1 1]
39,[1 1 1 1 1]
40,[1 1 1 0 1]
41,[1 1 1 0 1]
42,[1 1 1 0 1]
43,[1 1 1 0 1]
44,[1 1 1 1 1]
45,[1 1 1 1 1]
46,[0 1 1 0 1]
47,[1 1 1 1 1]
48,[0 0 1 0 0]
49,[0 0 1 0 1]
50,[0 1 1 0 1]
51,[0 1 0 0 1]
52,[0 1 0 0 1]
53,[0 1 0 0 1]
54,[0 1 0 1 1]
55,[0 1 1 1 1]
56,[1 1 1 1 0]
57,[0 1 1 1 1]
58,[0 1 1 1 1]
59,[0 1 1 1 1]
60,[1 0 1 1 0]
61,[0 1 1 1 0]
62,[1 1 1 1 0]
63,[1 1 1 1 0]
64,[1 1 1 1 1]
65,[1 1 1 1 1]
66,[1 1 1 1 1]
67,[1 1 1 1 1]
68,[1 1 1 1 1]
69,[1 1 1 1 1]
70,[1 1 1 1 1]
71,[1 1 1 1 1]
72,[1 1 1 1 1]
73,[0 1 1 1 0]
74,[1 1 1 1 1]
75,[1 1 1 1 1]
76,[1 1 1 1 1]
77,[1 1 1 1 1]
78,[0 1 1 1 0]
79,[1 1 1 1 0]
80,[1 1 1 1 1]
81,[1 1 0 1 1]
82,[1 1 1 1 1]
83,[0 1 1 1 0]
84,[0 1 1 1 0]
85,[1 1 1 1 1]
86,[1 1 1 1 1]
87,[0 1 1 1 1]
88,[1 1 0 1 1]
89,[0 1 0 1 1]
90,[1 1 1 1 1]
91,[1 1 1 1 1]
92,[0 1 0 1 1]
93,[1 1 0 1 0]
94,[1 1 0 1 1]
95,[1 1 1 1 1]
96,[0 0 0 0 0]
97,[0 0 0 1 0]
98,[0 1 0 0 0]
99,[1 1 1 1 1]
100,[0 1 1 0 0]
101,[0 0 1 0 0]
102,[0 0 0 0 0]
103,[0 0 0 0 0]
104,[0 0 0 0 0]
105,[0 1 0 1 0]
106,[1 1 1 0 0]
107,[0 1 0 0 0]
108,[1 0 0 0 0]
109,[0 1 1 0 0]
110,[0 1 0 0 0]
111,[1 1 1 1 1]
112,[0 1 1 0 0]
113,[0 1 1 0 0]
114,[0 1 1 0 0]
115,[1 1 1 0 0]
116,[0 1 1 0 0]
117,[0 1 1 0 0]
118,[1 0 1 0 1]
119,[1 0 1 0 1]
120,[0 1 1 1 1]
121,[0 1 1 0 1]
122,[0 1 0 1 0]
123,[0 1 0 1 0]
124,[1 1 0 1 0]
125,[0 1 0 1 1]
126,[1 1 0 0 0]
127,[1 1 1 0 1]
128,[0 1 0 0 1]
129,[1 1 0 0 0]
130,[0 0 0 1 0]
131,[0 1 1 0 0]
132,[0 1 1 0 1]
133,[0 1 1 1 1]
134,[0 1 1 0 1]
135,[0 1 1 1 1]
136,[0 1 1 1 0]
137,[0 1 1 1 1]
138,[0 1 1 1 1]
139,[0 0 1 1 1]
140,[1 1 1 1 1]
141,[0 1 1 1 1]
142,[1 0 1 1 1]
143,[0 1 1 1 1]
144,[1 1 1 1 1]
145,[1 1 1 1 1]
146,[1 1 1 1 1]
147,[1 1 1 1 1]
148,[1 1 1 1 1]
149,[1 1 1 1 1]
150,[1 1 1 1 1]
151,[1 1 0 1 1]
152,[1 1 1 1 1]
153,[1 1 1 1 1]
154,[1 1 1 1 1]
155,[1 1 1 1 1]
156,[1 1 1 1 1]
157,[1 1 1 1 1]
158,[1 1 1 1 1]
159,[1 1 1 1 1]
160,[1 1 1 1 1]
161,[1 1 1 1 1]
162,[1 1 1 1 1]
163,[1 1 1 1 1]
164,[1 1 1 1 1]
165,[1 1 1 1 1]
166,[1 1 1 1 1]
167,[1 1 1 1 1]
168,[1 1 1 1 1]
169,[1 1 1 1 1]
170,[1 1 1 1 1]
171,[1 1 1 1 1]
172,[1 1 1 1 1]
173,[1 1 1 1 1]
174,[1 1 1 1 1]
175,[1 1 1 1 1]
176,[1 1 0 1 0]
177,[1 1 0 1 0]
178,[0 1 1 1 0]
179,[1 1 1 0 1]
180,[0 1 1 0 1]
181,[1 1 0 1 0]
182,[1 0 1 1 1]
183,[1 1 0 1 0]
184,[1 1 1 1 1]
185,[1 1 1 1 0]
186,[1 1 1 1 1]
187,[1 1 1 1 1]
188,[1 1 1 1 0]
189,[1 1 1 0 0]
190,[1 1 1 1 1]
191,[1 1 1 1 1]
192,[1 1 1 1 1]
193,[0 1 1 1 1]
194,[1 1 1 1 1]
195,[1 1 1 1 1]
196,[1 1 1 1 1]
197,[1 1 1 1 1]
198,[1 1 1 1 1]
199,[1 1 1 1 1]
200,[1 1 1 1 1]
201,[1 1 1 1 1]
202,[1 1 1 1 1]
203,[1 1 1 1 1]
204,[1 1 1 1 1]
205,[1 1 1 1 1]
206,[1 1 1 1 1]
207,[1 1 1 1 1]
208,[1 1 1 1 1]
209,[0 1 1 1 1]
210,[1 1 1 1 1]
211,[1 0 1 1 1]
212,[0 1 1 1 1]
213,[0 1 1 1 1]
214,[1 1 1 1 0]
215,[1 1 1 1 1]
216,[1 0 1 1 1]
217,[1 1 1 1 1]
218,[1 1 1 1 1]
219,[1 1 1 1 1]
220,[1 1 1 1 1]
221,[1 1 1 1 1]
222,[1 1 1 1 1]
223,[1 1 1 1 1]
224,[1 1 1 1 1]
225,[0 0 1 0 1]
226,[1 1 1 1 1]
227,[1 1 1 1 0]
228,[1 1 1 1 1]
229,[1 1 1 1 1]
230,[1 1 1 1 1]
231,[1 1 1 1 1]
232,[1 1 1 1 1]
233,[1 1 1 1 1]
234,[1 1 1 1 1]
235,[1 1 1 1 0]
236,[1 1 1 1 1]
237,[1 1 1 1 0]
238,[1 1 1 1 1]
239,[1 1 1 1 1]
240,[1 1 1 1 1]
241,[1 1 1 1 1]
242,[1 1 1 1 1]
243,[1 0 1 1 0]
244,[1 0 1 1 0]
245,[1 1 1 0 1]
246,[1 1 1 1 1]
247,[1 1 1 1 1]
248,[1 1 1 1 1]
249,[1 1 1 1 1]
250,[0 1 1 1 1]
251,[1 1 1 1 1]
252,[1 1 1 1 1]
253,[0 1 1 1 1]
254,[1 1 1 1 1]
255,[1 1 1 1 1]
256,[1 1 1 1 1]
257,[1 1 1 1 0]
258,[1 1 1 1 1]
259,[0 1 1 1 1]
260,[1 0 1 1 1]
261,[1 0 0 1 1]
262,[1 0 0 1 1]
263,[1 1 1 1 1]
264,[1 1 1 1 1]
265,[1 1 1 1 1]
266,[1 0 1 1 1]
267,[0 1 1 0 1]
268,[1 1 1 1 1]
269,[1 1 1 1 1]
270,[1 1 1 1 0]
271,[1 1 1 1 1]
272,[1 1 1 1 1]
273,[1 1 1 1 1]
274,[0 1 1 1 1]
275,[0 1 1 1 1]
276,[1 1 1 1 1]
277,[1 1 1 1 1]
278,[1 1 1 1 0]
279,[1 1 1 1 1]
280,[1 1 1 1 1]
281,[1 1 1 1 1]
282,[1 1 1 1 1]
283,[1 1 1 1 1]
284,[0 1 1 1 1]
285,[1 1 1 1 1]
286,[1 1 1 1 1]
287,[1 1 1 1 1]
288,[1 1 1 1 1]
289,[1 1 1 1 1]
290,[1 1 1 1 1]
291,[1 1 1 1 1]
292,[1 1 1 1 1]
293,[1 1 1 1 1]
294,[1 1 1 1 1]
295,[1 1 1 1 1]
296,[1 1 1 1 1]
297,[1 1 1 1 1]
298,[1 1 0 0 1]
299,[1 1 0 0 1]
300,[1 1 1 1 0]
301,[1 1 1 1 1]
302,[0 1 1 1 1]
303,[1 0 1 0 0]
304,[1 0 1 0 0]
305,[0 1 1 0 1]
306,[0 1 1 1 1]
307,[0 1 1 1 1]
308,[1 0 0 1 1]
309,[1 0 0 1 1]
310,[1 1 1 0 1]
311,[1 0 0 0 1]
312,[1 1 1 1 1]
313,[1 1 0 0 1]
314,[1 1 0 0 0]
315,[1 1 1 1 1]
316,[1 1 1 1 1]
317,[1 1 1 1 1]
318,[1 1 0 0 1]
319,[1 1 1 1 1]
320,[1 1 1 1 1]
321,[1 1 1 1 1]
322,[1 1 1 1 1]
323,[1 1 1 1 1]
324,[1 1 1 1 1]
325,[1 1 1 0 1]
326,[1 1 1 1 1]
327,[1 1 1 0 1]
328,[1 1 1 1 1]
329,[1 1 1 1 1]
330,[1 1 1 1 1]
331,[1 1 1 1 1]
332,[1 1 1 1 1]
333,[0 1 1 1 1]
334,[1 1 1 0 1]
335,[1 1 1 1 1]
336,[1 0 1 0 1]
337,[0 1 1 0 1]
338,[1 0 1 0 1]
