i,x,probability
0,[0 0 0],0.1969135777265903
1,[1 0 0],0.13285995459071256
2,[0 1 0],0.13285995459071256
3,[0 0 1],0.13285995459071256
4,[1 1 0],0.10465239996815125
5,[1 0 1],0.10465239996815125
6,[0 1 1],0.10465239996815125
7,[1 1 1],0.09054935859681819
