i,distance
0,1.6592147883752024
1,1.6392147883752024
2,1.6192147883752024
3,1.5492147883752023
4,1.5091729659134978
5,1.4758396325801644
6,1.4838274418470916
7,1.490256013275663
8,1.4774782354978853
9,1.459256013275663
10,1.45265424220193
11,1.4620481815958692
12,1.4761507456984333
13,1.4882386577863456
14,1.5013815149292027
15,1.5153815149292025
16,1.5136168090468496
17,1.5236039236965313
18,1.5338025675607814
19,1.5347150348076422
20,1.5343653597931486
21,1.542763628191417
22,1.5504316123811401
23,1.55579393122172
24,1.5607272645550534
25,1.563742649170438
26,1.5680161534439425
27,1.5691272645550534
28,1.572920368003329
29,1.5764605978883868
30,1.5733208129421503
31,1.5653772645550532
32,1.5651878706156594
33,1.5638331469079945
34,1.562555835983625
35,1.5669050423328312
36,1.5710191564469453
37,1.5707062119234745
38,1.5704093158371046
39,1.5721272645550532
40,1.5718101913843219
41,1.5696034550312439
42,1.5705659661256512
43,1.572489856189076
44,1.5698837955830156
45,1.5639127810902622
46,1.5633022352993275
47,1.5568837955830157
48,1.5539926391204306
49,1.552817128916349
50,1.550903403426153
51,1.5459863596855796
52,1.5446057796673913
53,1.5439488963689987
54,1.5447704451905475
55,1.5469912244113266
56,1.5477305727822541
57,1.5463754608645286
58,1.5471001832490991
59,1.5478007482208505
60,1.5471668684394295
61,1.5452631138122483
62,1.543419795839898
63,1.5403840815541838
64,1.5374417738618762
65,1.5303462027663048
66,1.526447514390005
67,1.5226634933188896
68,1.519784276318825
69,1.519568955407852
70,1.517106178747892
71,1.5119340347729313
72,1.506903593372627
73,1.5020091098480064
74,1.4956451458840423
75,1.4931328651822882
76,1.4891414287088938
77,1.4855450251124904
78,1.4805206823666286
79,1.474163770651118
80,1.4717501904042043
81,1.467932063334045
82,1.4613143730607567
83,1.4558066277939752
84,1.4532520059452356
85,1.450756793906932
86,1.4506177936396238
87,1.4495728615602088
88,1.4476525346960618
89,1.4462193262066736
90,1.4456967376840852
91,1.4469246402163354
92,1.446405706134989
93,1.4450467493745223
94,1.4445585074932232
95,1.4419971039844515
96,1.4411379974552418
97,1.4402964237123426
98,1.4398758918632393
99,1.4410637706511178
100,1.4402479290669596
101,1.4402323981020984
102,1.439052120165681
103,1.438663770651118
104,1.4379018658892133
105,1.439041129141684
106,1.43941143420252
107,1.4394045113918588
108,1.438663770651118
109,1.4372092251965725
110,1.4365016084889557
111,1.4343780563654036
112,1.4326460715360736
113,1.430944472405504
114,1.4296202923902483
115,1.4296982534097387
116,1.4270398390271861
117,1.4234095333629826
118,1.4181595689704458
119,1.4159971039844512
120,1.4132092251965724
121,1.4094834427822656
122,1.4045174291877034
123,1.4012444158124082
124,1.3957837706511182
125,1.3919971039844514
126,1.3860653454542677
127,1.379913770651118
128,1.3760281117363893
129,1.3712791552665027
130,1.3678240759946294
131,1.3635122554996029
132,1.361069785688712
133,1.3574697408003717
134,1.355700807688155
135,1.353369653004059
136,1.351656471381045
137,1.3470695677525675
138,1.34485082101083
139,1.339806627793975
140,1.3362524231333874
141,1.334156728397597
142,1.33069174267909
143,1.3294971039844512
144,1.327215494789049
145,1.32559655616909
146,1.3234290042168022
147,1.3210204732368427
148,1.3194496406592986
149,1.3181664191827887
150,1.3161054920304707
151,1.3159137876038414
152,1.3152017133004357
153,1.3139794061957757
154,1.3122567417634339
155,1.3131202653366345
156,1.3119345720490307
157,1.311017052094181
158,1.310614217924927
159,1.3106936966979954
160,1.311539969989921
161,1.3121288818831807
162,1.3129559666366457
163,1.3130412576736052
164,1.3126633888797583
165,1.3117856962912224
166,1.3105772913318625
167,1.3114484062448937
168,1.311125780153037
169,1.3108069496622605
170,1.310491848183072
171,1.3094827362559678
172,1.3082540764898702
173,1.3070395392498195
174,1.3049245967210839
175,1.302833687630175
176,1.3005404159301235
177,1.298497630428949
178,1.294019568788123
179,1.2891468189433062
180,1.285874872964178
181,1.2824191022155895
182,1.2796568371582424
183,1.2764898141123884
184,1.2722759480724353
185,1.2687525537103315
186,1.2646251314804424
187,1.2599033201253393
188,1.2571362369327241
189,1.2525035440895051
190,1.2475005129514505
191,1.2421329300544173
192,1.2370282236640893
193,1.231769957545826
194,1.2251297249262123
195,1.2189654130476146
196,1.2141312123514152
197,1.209580117648036
198,1.2060797877155456
199,1.2004144610823797
200,1.1966288210406901
201,1.1931738188240506
202,1.1911321663829444
203,1.189110530142241
204,1.185547641572179
205,1.1827960431824087
206,1.1785251365645202
207,1.175449142510265
208,1.1720198086861946
209,1.169765992327115
210,1.1669648187771262
211,1.1638127129021374
212,1.162755931964942
213,1.1604006162701503
214,1.1578811639771707
215,1.1561257806869034
216,1.1532805852610628
217,1.1515624099767439
218,1.1482160901744731
219,1.1452669693829853
220,1.1437515436322656
221,1.1415290496450656
222,1.1391471161420559
223,1.1364293070453229
224,1.1344467673627834
225,1.1323047811287617
226,1.1301816670201499
227,1.1279017381230172
228,1.1252923762904883
229,1.1232274436912857
230,1.1211803892964052
231,1.1198406370945841
232,1.1181690372721775
233,1.1175373656533816
234,1.1167408571972985
235,1.1151036411857589
236,1.114999228684865
237,1.1147276263730541
238,1.1152951169676182
239,1.1156912118072277
240,1.1152541440340604
241,1.1141595313664563
242,1.1132385369101085
243,1.1129808292935666
244,1.1119088988820578
245,1.111983894734057
246,1.1109246800933277
247,1.1095514268609914
248,1.1083498463453803
249,1.1079578784738944
250,1.1074096713025796
251,1.1070245451405611
252,1.1061681551537363
253,1.1059484296549966
254,1.105416702003306
255,1.1044203784738944
256,1.1037430924816765
257,1.102916018008778
258,1.1007053688213846
259,1.0994348015508175
260,1.0981739704279174
261,1.095701389924276
262,1.0942895286126753
263,1.0935169741709194
264,1.092448363536271
265,1.091237411628199
266,1.089136654116442
267,1.087051573899549
268,1.0852793939073169
269,1.0836684893224344
270,1.0839882925204665
271,1.08562927363616
272,1.0872582329121783
273,1.0888753019745028
274,1.0904806105345557
275,1.092074286423884
276,1.0936564556280906
277,1.0952499648048297
278,1.0969528605527474
279,1.0986435927596085
280,1.1003222912852824
281,1.1019890841476532
282,1.1036440975551667
283,1.1052874559386832
284,1.1069192819826665
285,1.1085396966557126
286,1.110148819240445
287,1.1117467673627832
288,1.1131952487161088
289,1.11463374054286
290,1.1160623458278462
291,1.1174811661451274
292,1.1184807453680925
293,1.1192014158888606
294,1.1197816072874538
295,1.1203578784738943
296,1.1216036697196854
297,1.1225726435745655
298,1.123802694527406
299,1.124624545140561
300,1.1257067156831968
301,1.126781719533497
302,1.127849627648812
303,1.1286473521581049
304,1.129439845687009
305,1.1308807542908879
306,1.132312275868031
307,1.1336046317206476
308,1.1350180726486516
309,1.1364223946029268
310,1.1378176855478495
311,1.1392040323200483
312,1.1405815206464183
313,1.1418228466267606
314,1.1430562911723072
315,1.1444085113852869
316,1.1454998343098566
317,1.146584293568234
318,1.147661953709004
319,1.1489828784738945
320,1.1499217414022433
321,1.1509789964863166
322,1.1520297050992814
323,1.153197384646734
324,1.1544809553969713
325,1.1556339520935264
326,1.156657572663497
327,1.1579188540836505
328,1.1591724681395479
329,1.159933636049652
330,1.161173588443683
331,1.162165107389557
332,1.1632707913868072
333,1.1643698545217984
334,1.1651041471306107
335,1.1661912118072277
336,1.1672718250614313
337,1.1683460441543678
338,1.1694139256715346
339,1.1705931725915415
340,1.171178992843396
341,1.1719953053744792
342,1.172457003838326
343,1.1730322970785454
344,1.173952081372445
345,1.1748665489941257
346,1.1755451983586207
347,1.1765647750256187
348,1.1773492824853558
349,1.1780150213310372
350,1.1786769667929828
351,1.1796760602920764
352,1.1804428643095883
353,1.1810923417507306
354,1.1820761883330493
355,1.1831668672379394
356,1.1841393910789364
357,1.1847712862951234
358,1.1842854550755657
359,1.184802322918339
360,1.184873113930958
361,1.1841700331700271
362,1.183911597482159
363,1.1835446916607077
364,1.182960618199922
365,1.183144763719796
366,1.1841998403267553
367,1.1852491828217206
