i,distance
0,1.9958728956375478
1,1.9922778397007328
2,1.9883849199657273
3,1.9839412461174644
4,1.9779035691680278
5,1.9736439202616758
6,1.973643920261676
7,1.9720486569086468
8,1.9714292676586815
9,1.9714292676586815
10,1.970623589826146
11,1.970623589826146
12,1.9690292277863424
13,1.9590535094342705
14,1.9553689456967924
15,1.9516762116527837
16,1.95043054171345
17,1.9505612606676983
18,1.9503431419111577
19,1.9472152888850482
20,1.9474916447198143
21,1.9470433447941735
22,1.9439562870794278
23,1.9443186059200073
24,1.9432787335542403
25,1.941829916127738
26,1.942285756583579
27,1.939951343183761
28,1.9394671453794148
29,1.939758539719165
30,1.9357849653665196
31,1.933278118617522
32,1.9324516949974644
33,1.9326072990150045
34,1.9306345497804738
35,1.9298490126357435
36,1.92874232863454
37,1.9239912617782098
38,1.9231414459415719
39,1.9211799349199763
40,1.9144046642084669
41,1.9139512206852758
42,1.913311796726023
43,1.913798054654141
44,1.9133738122298989
45,1.9118079536668557
46,1.9093341271977826
47,1.9064795172687043
48,1.9058759584478864
49,1.9042505017692883
50,1.904658344906543
51,1.9027428094615964
52,1.8993901244107978
53,1.898637684251769
54,1.8991090647231492
55,1.8984260571187543
56,1.8988521222816614
57,1.8992634955423997
58,1.8989829578451467
59,1.8973784380711356
60,1.8945150500929935
61,1.892620105899413
62,1.8888301438991646
63,1.8828517008896355
64,1.8821170012013226
65,1.876747017768063
66,1.8696469403994507
67,1.8665611915846196
68,1.8659533138805626
69,1.8624213443697295
70,1.8567784996070347
71,1.8541496927702616
72,1.8484432876994124
73,1.8415026951402236
74,1.8379950006542902
75,1.83534002199029
76,1.8330609901311323
77,1.8287020594319732
78,1.8261046173391433
79,1.8235161958910675
80,1.8216213985098146
81,1.8179955261112322
82,1.8166082731429793
83,1.8142020901936213
84,1.81207489885095
85,1.8098470196643044
86,1.8105192886752768
87,1.8105767569952422
88,1.810655319272913
89,1.811467691088324
90,1.8121105960465047
91,1.8129084938009241
92,1.8137098124058981
93,1.8142877785319258
94,1.8148512638342025
95,1.8154422749321935
96,1.8156857813800846
97,1.8163663757970125
98,1.8171084908248418
99,1.8174636826377975
100,1.8179822025818584
101,1.8186810960006121
102,1.8193715345328996
103,1.81969834933318
104,1.8204199610547918
105,1.8210216872832448
106,1.8217164501116698
107,1.8219692348405938
108,1.8218341769187314
109,1.8221246181454553
