i,x
228,[1 0 1 0 0]
229,[1 0 0 0 0]
230,[0 1 1 1 0]
231,[0 0 1 1 0]
232,[1 0 1 1 0]
233,[0 1 0 0 0]
234,[1 1 1 1 0]
235,[0 0 0 0 0]
236,[0 0 0 0 0]
237,[1 0 1 1 1]
238,[1 0 1 0 0]
239,[1 0 0 0 0]
240,[0 0 1 0 1]
241,[0 0 1 0 0]
242,[0 1 1 0 0]
243,[1 1 0 1 1]
244,[0 1 0 0 1]
245,[1 0 0 1 0]
246,[0 1 0 1 1]
247,[1 0 1 1 1]
248,[0 1 0 0 1]
249,[0 0 0 0 0]
250,[1 0 1 1 0]
251,[0 0 0 0 0]
252,[1 1 0 0 0]
253,[1 0 1 1 1]
254,[0 0 0 0 0]
255,[1 0 0 0 0]
256,[0 0 0 0 1]
257,[0 0 0 1 0]
258,[0 1 0 1 1]
259,[1 0 0 1 1]
260,[0 1 0 0 0]
261,[0 0 0 0 0]
262,[1 0 1 0 1]
263,[0 0 0 0 1]
264,[0 0 0 0 0]
265,[0 0 1 0 1]
266,[0 1 1 1 1]
267,[0 0 0 0 0]
268,[1 0 1 0 1]
269,[0 1 1 0 0]
270,[0 0 0 0 0]
271,[0 0 0 0 1]
272,[0 0 0 0 0]
273,[0 0 1 1 0]
274,[0 1 0 0 1]
275,[1 1 0 0 0]
276,[1 1 0 0 0]
277,[0 0 0 1 1]
278,[0 0 0 1 0]
279,[0 0 0 0 1]
280,[0 0 0 1 1]
281,[0 0 0 0 1]
282,[0 0 0 0 0]
283,[0 0 0 0 0]
284,[1 0 0 0 0]
285,[0 1 0 0 1]
286,[0 0 0 0 0]
287,[0 0 0 0 0]
288,[1 1 0 1 1]
289,[0 1 1 0 1]
290,[0 0 1 0 1]
291,[0 0 1 0 1]
292,[0 0 1 0 0]
293,[0 1 1 0 0]
294,[0 0 0 0 0]
295,[0 0 0 0 0]
296,[0 0 1 0 0]
297,[0 0 0 0 0]
298,[0 0 0 0 0]
299,[1 1 0 0 0]
300,[1 1 0 0 1]
301,[0 1 1 0 1]
302,[0 0 1 1 0]
303,[1 1 0 1 0]
304,[0 1 1 0 1]
305,[0 0 1 0 0]
306,[1 0 1 0 1]
307,[1 1 0 1 1]
308,[0 0 0 0 0]
309,[1 1 1 0 0]
310,[1 0 0 1 0]
311,[0 1 0 0 0]
312,[0 0 1 1 0]
313,[0 0 1 0 0]
314,[0 1 1 0 1]
315,[0 0 0 1 0]
316,[1 0 1 1 0]
317,[1 0 1 0 0]
318,[0 1 1 0 0]
319,[0 0 0 0 0]
320,[1 0 0 0 0]
321,[1 1 1 0 1]
322,[0 0 0 0 0]
323,[1 1 0 1 1]
324,[1 0 1 0 1]
325,[0 1 1 0 0]
326,[1 0 1 0 0]
327,[0 1 0 1 1]
328,[0 1 0 0 1]
329,[1 1 1 0 0]
330,[0 0 0 0 1]
331,[0 0 0 0 0]
332,[0 0 0 0 0]
333,[0 0 0 0 0]
334,[0 0 1 1 0]
335,[1 0 1 1 1]
336,[1 0 0 0 1]
337,[0 0 0 0 0]
338,[1 0 1 0 0]
339,[1 0 1 1 0]
340,[0 0 1 0 1]
341,[1 1 1 0 0]
342,[0 0 0 0 0]
343,[0 0 0 0 0]
344,[0 0 0 1 0]
345,[0 0 1 0 1]
346,[0 0 0 0 0]
347,[0 0 1 1 0]
348,[0 0 0 0 0]
349,[1 0 1 0 0]
350,[1 0 1 0 0]
351,[0 0 0 0 0]
352,[0 1 0 1 0]
353,[1 0 0 1 0]
354,[0 0 0 0 0]
355,[1 0 0 1 0]
356,[1 0 1 0 0]
357,[0 0 0 1 1]
358,[0 1 1 1 0]
359,[0 0 0 1 0]
360,[1 0 0 0 0]
361,[0 0 0 1 1]
362,[0 0 0 0 0]
363,[0 0 0 0 0]
364,[0 1 0 0 1]
365,[0 0 0 0 0]
366,[1 1 0 0 1]
367,[1 1 0 1 0]
368,[0 0 0 0 0]
369,[0 1 1 0 0]
370,[1 1 1 0 0]
371,[0 1 1 1 1]
372,[0 0 0 0 0]
373,[0 0 0 0 0]
374,[0 0 1 0 1]
375,[0 0 1 0 1]
376,[1 0 1 0 0]
377,[0 0 0 0 0]
378,[1 0 1 0 0]
379,[0 0 0 0 0]
380,[1 1 0 0 0]
381,[0 0 1 0 1]
382,[0 0 0 0 0]
383,[1 1 1 0 1]
384,[0 0 1 1 1]
385,[0 1 1 0 0]
386,[0 0 0 1 0]
387,[1 1 0 0 0]
388,[1 1 0 0 1]
389,[1 1 1 0 0]
390,[0 0 1 0 1]
391,[1 0 1 1 1]
392,[1 0 0 1 0]
393,[0 0 0 1 0]
394,[0 0 0 0 1]
395,[0 1 1 0 0]
396,[1 0 1 0 1]
397,[0 0 1 1 0]
398,[0 0 0 0 1]
399,[0 0 0 0 0]
400,[1 1 0 1 1]
401,[0 0 0 0 0]
402,[1 0 0 1 0]
403,[1 0 1 0 0]
404,[1 0 0 0 0]
405,[0 0 0 1 1]
406,[1 0 0 0 1]
407,[1 0 0 0 1]
408,[0 0 0 1 1]
409,[0 1 1 0 1]
410,[1 0 0 0 0]
411,[0 1 1 1 1]
412,[0 0 0 0 0]
413,[1 0 0 0 1]
414,[1 1 1 0 1]
415,[1 1 1 1 1]
416,[1 1 0 0 0]
417,[0 1 0 0 1]
418,[1 0 0 0 0]
419,[1 0 1 0 0]
420,[0 0 0 1 1]
421,[0 0 1 0 1]
422,[0 1 0 0 1]
423,[0 1 1 1 0]
424,[0 1 1 0 1]
425,[0 1 0 0 0]
426,[0 0 0 0 0]
427,[0 1 1 0 1]
428,[0 0 0 1 0]
429,[0 1 0 0 1]
430,[0 1 1 1 0]
431,[0 0 0 0 0]
432,[0 1 0 0 1]
433,[1 1 0 1 0]
434,[1 1 0 1 0]
435,[0 0 0 0 0]
436,[1 1 1 1 0]
437,[1 0 1 0 0]
438,[1 0 0 1 1]
439,[0 1 0 0 0]
440,[0 0 1 0 0]
441,[0 0 1 1 1]
442,[1 1 1 1 1]
443,[0 0 0 0 0]
444,[0 0 0 0 0]
445,[0 0 1 0 0]
446,[0 1 0 0 1]
447,[0 0 0 0 0]
448,[1 0 1 1 0]
449,[0 0 1 0 1]
450,[0 1 0 0 1]
451,[1 0 0 1 1]
452,[0 0 1 0 0]
453,[0 0 1 0 1]
454,[0 1 1 0 1]
455,[1 0 1 0 1]
456,[0 0 0 0 0]
457,[0 1 1 1 1]
458,[0 1 0 1 1]
459,[1 1 0 1 0]
460,[0 1 0 0 0]
461,[0 0 0 0 0]
462,[0 1 1 0 0]
463,[0 1 0 1 0]
464,[0 1 1 0 1]
465,[1 0 1 0 1]
466,[0 0 1 1 1]
467,[1 1 0 0 1]
468,[0 1 0 0 0]
469,[1 0 0 1 1]
470,[0 1 1 1 0]
471,[1 1 1 0 1]
472,[0 0 0 0 0]
473,[0 0 0 0 0]
474,[0 0 0 0 0]
475,[0 1 0 0 0]
476,[0 0 0 0 0]
477,[1 1 0 0 0]
478,[0 0 0 0 0]
479,[0 0 1 1 1]
480,[0 0 0 1 1]
481,[1 0 0 0 0]
482,[0 0 1 0 0]
483,[1 1 0 0 0]
484,[1 0 1 0 0]
485,[1 0 1 0 1]
486,[0 0 0 0 0]
487,[0 1 1 1 0]
488,[1 0 1 1 1]
489,[0 0 0 0 0]
490,[1 0 1 0 1]
491,[0 0 0 0 0]
492,[1 1 0 0 1]
493,[0 0 1 1 1]
494,[0 1 1 0 0]
495,[1 0 1 0 1]
496,[0 0 0 1 1]
497,[0 0 0 0 0]
498,[1 1 0 0 0]
499,[0 1 1 1 0]
500,[0 1 0 1 0]
501,[1 1 1 0 0]
502,[0 1 0 0 0]
503,[0 0 0 0 0]
504,[0 0 0 0 0]
505,[1 0 1 0 0]
506,[0 0 0 1 0]
507,[0 1 1 0 1]
508,[1 1 1 0 0]
509,[1 0 1 1 1]
510,[1 1 1 0 0]
511,[0 0 0 0 1]
512,[0 0 0 0 0]
513,[0 1 1 0 0]
514,[1 0 0 0 0]
515,[0 0 0 0 0]
516,[1 0 1 0 0]
517,[0 1 1 0 0]
518,[0 0 0 0 0]
519,[1 1 1 0 1]
520,[0 0 1 1 0]
521,[0 0 0 0 1]
522,[1 0 1 0 0]
523,[0 1 0 0 1]
524,[0 0 0 0 0]
525,[1 0 0 1 1]
526,[1 1 1 1 0]
527,[0 0 0 0 0]
528,[1 1 0 1 1]
529,[0 0 0 0 0]
530,[1 0 0 0 1]
531,[1 1 0 1 1]
532,[1 0 0 0 0]
533,[1 1 0 0 1]
534,[0 0 0 0 0]
535,[1 1 0 0 0]
536,[0 0 0 0 1]
537,[0 1 0 1 1]
538,[0 0 0 0 1]
539,[0 0 0 1 1]
540,[0 1 1 0 1]
541,[0 0 0 0 0]
542,[0 0 0 1 0]
543,[1 0 1 0 0]
544,[0 1 1 0 1]
545,[0 1 1 0 1]
546,[1 0 0 0 0]
547,[0 0 0 1 1]
548,[1 0 0 0 0]
549,[0 0 1 0 0]
550,[1 1 0 0 0]
551,[0 1 0 1 0]
552,[0 1 1 0 1]
553,[1 1 0 0 1]
554,[0 0 0 0 0]
555,[0 0 0 0 0]
556,[0 1 1 0 0]
557,[1 1 0 0 0]
558,[1 0 0 0 0]
559,[1 0 0 1 1]
560,[1 0 0 0 0]
561,[0 1 0 0 0]
562,[1 1 0 1 1]
563,[0 0 0 0 0]
564,[0 0 0 0 1]
565,[0 1 0 1 0]
566,[0 0 0 0 0]
567,[0 0 0 0 0]
568,[0 1 0 0 0]
569,[1 1 1 0 1]
570,[0 1 1 0 1]
571,[1 0 0 0 0]
572,[1 1 0 1 1]
573,[0 1 1 0 1]
574,[0 0 1 0 0]
575,[0 0 0 1 0]
576,[1 0 0 1 0]
577,[0 0 0 0 0]
578,[0 1 0 0 0]
579,[1 1 0 1 0]
580,[1 0 1 0 1]
581,[0 0 0 0 0]
582,[0 0 0 0 0]
583,[1 1 1 0 0]
584,[0 1 1 0 1]
585,[0 1 1 0 1]
586,[0 0 1 0 0]
587,[0 1 0 0 0]
588,[1 0 0 1 0]
589,[0 0 1 1 1]
590,[1 1 1 0 0]
591,[1 1 0 0 1]
592,[0 1 0 0 1]
593,[0 0 0 0 1]
594,[1 1 0 0 0]
595,[0 0 1 1 0]
596,[1 0 1 1 1]
597,[0 0 1 1 1]
598,[1 1 0 0 0]
599,[0 1 1 1 1]
600,[1 1 0 1 0]
601,[1 0 1 0 0]
602,[0 1 0 0 0]
603,[0 1 0 0 1]
604,[0 0 0 0 0]
605,[0 1 0 0 0]
606,[0 1 0 1 0]
607,[0 1 0 0 0]
608,[0 1 0 1 0]
609,[0 1 0 0 1]
610,[1 1 1 1 0]
611,[0 1 1 0 0]
612,[1 0 0 0 1]
613,[1 0 0 0 0]
614,[1 0 0 0 0]
615,[0 0 0 0 0]
616,[0 0 0 0 1]
617,[0 0 0 0 0]
618,[1 0 1 1 0]
619,[1 1 1 0 0]
620,[0 1 1 0 1]
621,[0 0 0 0 0]
622,[0 0 0 0 0]
623,[0 0 0 0 1]
624,[0 0 1 0 0]
625,[0 0 0 0 1]
626,[1 1 1 0 0]
627,[1 0 0 0 0]
628,[0 0 0 0 0]
629,[0 1 1 1 1]
630,[0 1 1 0 1]
631,[1 0 1 0 1]
632,[1 0 0 0 0]
633,[0 0 1 0 0]
634,[0 0 0 1 0]
635,[0 0 0 0 0]
636,[1 0 0 1 0]
637,[1 1 1 0 1]
638,[0 0 1 1 1]
639,[0 0 0 0 0]
640,[1 1 1 0 1]
641,[0 0 0 0 0]
642,[0 1 0 0 0]
643,[0 1 0 0 1]
644,[0 0 1 0 1]
645,[1 1 0 0 0]
646,[1 1 1 1 0]
647,[1 1 0 1 0]
648,[1 1 1 0 0]
649,[1 0 0 1 1]
650,[0 1 0 0 1]
651,[1 0 0 0 0]
652,[0 1 0 0 1]
653,[0 0 1 0 1]
654,[0 1 1 0 1]
655,[1 0 0 0 1]
656,[0 0 1 1 1]
657,[1 1 1 1 0]
658,[1 1 1 0 1]
659,[0 1 1 1 0]
660,[0 1 0 0 1]
661,[0 0 0 0 1]
662,[0 0 0 1 0]
663,[1 0 0 0 0]
664,[1 0 0 0 1]
665,[0 1 0 1 1]
666,[0 0 0 0 0]
667,[1 0 0 1 0]
668,[1 0 0 0 0]
669,[0 1 0 0 1]
670,[1 0 0 1 0]
671,[0 0 0 0 1]
672,[0 1 0 0 0]
673,[0 1 0 0 0]
674,[0 0 1 0 0]
675,[1 0 1 0 0]
676,[1 0 0 0 0]
677,[0 0 0 0 0]
678,[1 0 0 0 0]
679,[0 0 1 0 1]
680,[1 0 0 0 1]
681,[0 0 0 0 1]
682,[1 1 1 0 0]
683,[0 0 0 0 1]
684,[0 0 0 0 0]
685,[0 0 0 1 0]
686,[1 0 0 1 0]
687,[0 1 0 1 0]
688,[0 1 1 0 1]
689,[1 0 1 0 0]
690,[0 0 0 0 0]
691,[1 1 0 1 1]
692,[1 0 1 0 1]
693,[0 1 0 0 1]
694,[0 1 0 1 1]
695,[1 1 1 0 1]
696,[0 1 0 1 1]
697,[0 1 1 1 1]
698,[1 0 0 0 0]
699,[1 0 1 0 0]
700,[0 1 0 1 1]
701,[0 0 0 1 1]
702,[0 1 1 0 0]
703,[0 0 0 0 1]
704,[1 1 0 1 0]
705,[1 1 0 1 1]
706,[0 0 0 0 1]
707,[1 1 1 0 1]
708,[1 1 0 1 0]
709,[0 0 1 0 1]
710,[0 0 0 0 0]
711,[1 0 1 0 1]
712,[1 1 1 0 1]
713,[1 0 1 1 0]
714,[0 0 0 0 0]
715,[0 0 0 0 0]
716,[1 0 0 0 1]
717,[1 0 1 1 1]
718,[0 1 1 1 0]
719,[1 0 0 0 0]
720,[0 0 0 0 0]
721,[1 0 0 0 0]
722,[0 0 0 0 0]
723,[0 0 1 0 0]
724,[1 1 0 1 0]
725,[0 0 1 1 1]
726,[0 0 0 0 0]
727,[1 0 1 0 1]
728,[1 0 1 0 1]
729,[0 0 0 0 0]
730,[1 0 1 0 1]
731,[0 0 0 0 0]
732,[0 0 0 0 1]
733,[0 1 1 1 0]
734,[1 1 1 1 1]
735,[0 0 0 0 0]
736,[0 0 0 0 1]
737,[0 0 0 0 0]
